review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
71046,Irene,SA - 5007,SA,5007,True,2019-12-04,04 December 2019,4.5,,"Everyone that we interacted with from Supercharged Solar has been awesome! Quick, courteous, and professional. Super quick and easy process. I can't recommend them enough! Thanks again for your tremendous work with 7 kw installation.",5.0,5.0,4.0,4.0,7kW,"$8,000 to $10,000",Winaico,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
70703,Adam,WA - 6054,WA,6054,True,2019-11-25,25 November 2019,4.5,,Professional outfit who gave us genuine advice and options. Installation was performed quickly and cleanly.,5.0,4.0,4.0,5.0,10kW,"$10,000 to $12,500",LG,Delta,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg']",0,0
62938,Natalie,VIC - 3140,VIC,3140,True,2019-04-17,17 April 2019,2.5,,There is a fault with our system and despite numerous phone calls and emails they choose not to respond. Really unimpressed.,3.0,3.0,3.0,1.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
56769,Jacob,VIC - 3195,VIC,3195,True,2018-12-06,06 December 2018,5.0,,I had my system installed 3 days ago and couldnâ€™t be happier. The installers were very nice.,5.0,5.0,5.0,5.0,More than 6kW,"$15,000 to $20,000",,,,,,False,[],0,0
56144,Nicole,VIC - 3197,VIC,3197,True,2018-11-23,23 November 2018,4.25,,From start to finish Supercharged where very helpful. I have just received my first bill and couldnâ€™t be happier. I would highly recommend them.,5.0,4.0,4.0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
49086,Mami,NSW - 2207,NSW,2207,True,2018-06-19,19 June 2018,5.0,,"I have been using solar panels since 6years ago.I used pay nearly $2000. After installed solar panels, I only pay $60 for electricity except on solar panels instration. If people run business, they are highly recommend.",5.0,5.0,5.0,5.0,2kW,Under $3000,,,,,,False,[],0,0
48460,Raman,NSW - 2264,NSW,2264,True,2018-06-02,02 June 2018,1.25,,3 months since the installation and our bills are the same. They couldnâ€™t even fill out the proper paperwork to submit to my electricity supplier. Stay away from them. They will not respond to your emails or calls,1.0,1.0,2.0,1.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
45025,Christne,NSW - 2280,NSW,2280,True,2018-03-08,08 March 2018,1.75,,"Do not use this company. Fortunately we have not paid them and now they are taking us to court for a system that was installed wrong, has never worked and was not what we contracted for. We contracted for a 5kW system and we did not get that on the roof or with the inverter. Also I found out - they are not an approved solar retailer of the Clean Energy Solar retailer code of conduct. Every one who has used them should check that they actually got what they paid for. The system has been wired in wrong due to leads touching the roof maybe could be unsafe.",1.0,4.0,1.0,1.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
38828,Jenny,VIC - 3204,VIC,3204,True,2017-10-03,03 October 2017,1.75,,They never get back to you & their english is poor.WORST SYSTEMWORST CUSTOMER SERVICE- IF ANYWORST COMPANYSTAY CLEAR!!!!!!!!!!!!!!!!!!!!!!!!!!!,1.0,2.0,3.0,1.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
38390,John,VIC - 3165,VIC,3165,True,2017-09-18,18 September 2017,4.25,,I had a lovely experience with the customer service girl who introduced herself as new. Was great to have such clear communication as my wife and I were heading off to Fiji in the following week and we wanted to know if everything would be organised before we left.,3.0,5.0,4.0,5.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
38364,Andrew,QLD - 4207,QLD,4207,True,2017-09-16,16 September 2017,1.0,,2 years and it is still not finished and not working properly,1.0,1.0,1.0,1.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
37226,Dave,VIC - 3666,VIC,3666,True,2017-08-07,07 August 2017,4.5,,Supercharged installed a 10 kw system on my farm near Seymour. Happy with the installation and the Solar edge monitoring is very cool. Overall happy with the product.,4.0,5.0,5.0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
37138,Kathy,VIC - 3216,VIC,3216,True,2017-08-03,03 August 2017,4.5,,"Supercharged installed 5kW on our holiday house , and 4 kW on our home.Overall it was a great experience. The sales person was very professional and provided quality advice . My husband is enjoying being to monitor an excellent system.We are happy to have such a great reduction in our bills!",4.0,5.0,4.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
