review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
120730,Stephanie,NSW - 2259,NSW,2259,True,2024-03-28,28 March 2024,5.0,,"The Superior Solar Team were all very professional. The installation went smoothly with the workmen very polite, punctual and tidied all debris from the site. The admin team organised the grid connection for us and had various payment options. This company was not the cheapest quote but they listened to what I wanted and provided exactly what I required. Definitely would use them again if we ever moved.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",,,,,,,False,[],0,0
103865,John,NSW - 2260,NSW,2260,True,2022-09-22,22 September 2022,4.75,,"I was pedantic & concerned regarding solar installation on our 4 degree flat Clip lock roof. Essential to minimise any through roof holes & screws. Only 1 roof penetration required!Thorough planning, on time,hassle free result. Working well",4.0,5.0,5.0,5.0,7kW,"$10,000 to $12,500",REC,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
97287,Detlef,NSW - 2081,NSW,2081,True,2022-09-15,15 September 2022,4.75,,After a site visit by Superior Solar’s Managing Director  different options where discussed. At no time was there any sales pressure. All my concerns and questions were answered and taken into consideration.On the installation day a team of five started at the agreed time and finished the task ahead of time.System works as promised.,4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",SunPower,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/ec6be61eb5ade516cb80fb7370a4bbda.jpeg']",0,0
102577,Steve,NSW - 2259,NSW,2259,True,2022-08-15,15 August 2022,5.0,,"Best installation techs in town. From start to finish, excellence. started with 31 lg solar panels, one 8k Fronius inverter and 1one 3k Fronius Inverter. next was to add two Tesla Powerwall 2 batteries. a year later we took down my solar hot water evacuated tube system and added 20 more lg black panels and swapped out 3 k inverter for another 8 k inverter. Not a small job. the guys then changed out wiring from batteries to main box with 25mm cabling, wow that was fun. another year on and we added a 3rd Tesla Powerwall 2. nothing was too hard for these guys. System wasn't cheap but i can stand alone off the grid if I have to. No blackouts here and no bills, just credits. Derek, Aiden, Alex, Rohan, deb are a working machine that know there products and tech. Highly recommend them anytime. if you want a system that really works, call these guys. installation was slightly delayed, but that was only due to bad weather, otherwise on time. I will say there was no left over work or clean up for me to do.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",LG,Fronius,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
76963,Philipp,NSW - 2250,NSW,2250,True,2020-05-21,21 May 2020,5.0,,"Superior Solar installed our 10kW solar system in December 2019.Before installation the installer came with me onto the roof and we discussed the best place to install the panels with help of his little gadget which showed summer and winter shades. He also made me aware that in wintertime I will see a substantial reduction more than normal because of the trees.Superior was the third installer quoting and I'm glad I've chosen them. I haven't chosen them because of the best price but for the best professionalism. The installation itself is as we discussed and as I wanted it. No cables can be seen, just the box outside and high quality work! Also the grid connection was organised and went so smooth that the switch over was barely noticeable.A month or two later I had a funny behavior of one of my panels and someone looked into my issue in almost no time. At the end it wasn't a fault and went away but the fact someone looked into this straight away is a reason to give 5 star for service.I would engage Superior again if I had a second home.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",LG,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/beffc2f951165a5c5ddba8f5f74300ce0.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/beffc2f951165a5c5ddba8f5f74300ce0.jpg']",0,0
53046,Ross,NSW - 2251,NSW,2251,True,2019-05-23,23 May 2019,4.5,,"We chose Superior Solar because they were a local company but more importantly they were more thorough than any other company and we were dealing with the owner throughout the information gathering process. He was the only person, even though others visited our property, who actually got onto the roof to take readings. In fact he did it on both visits. We feel comfortable that the installation and after sales service will be as thorough.A great company to deal with. Worth paying a little extra for.",4.0,5.0,4.0,5.0,More than 6kW,"$10,000 to $15,000",LG,Solaredge,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
63104,Adam,NSW - 2256,NSW,2256,True,2019-04-23,23 April 2019,4.5,,"One company supplied a quote early but failed there as the system they quoted was way too big to fit into the available space. They didn't even bother to call to discuss the quote until a few weeks later.  Another company didn't want to listen to my requirements when they called and designed a system the way they wanted to do it despite my being clear about what we wanted and where.Spot On Solar were the best of the companies you asked to provide a quote but they just couldn't match Superior Solar on price and product.As far as I'm aware, we ended up being the 1st house in Australia with the lastest LG 340W panels. We also went with enphase micro inverters.",4.0,5.0,4.0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
57196,Stewart,NSW - 2257,NSW,2257,True,2018-12-15,15 December 2018,4.75,,A professional outfit and very helpful with their information. The only reason I didn't give them the highest rating for customer service was that their administration staff did drop the ball a bit. Apparently they've since employed another admin person so maybe this problem has been overcome. However this does not detract from the provided service and honesty of their service.Being on the NSW Central Coast I used their Gosford branch and I can thoroughly recommend this family owned company to anyone who wants to install solar on their house.One thing I was very impressed with was that they were thoroughly honest about batteries. Given that I'd done my homework on battery pricing and I had one salesperson (from another company) trying to flog a a 1.2kw battery as part of an overall package; and Superior Solar comes along and confirms my suspicions that in a few years batteries would be a much more economical investment. As far as I'm concerned that was the icing on the cake.,5.0,5.0,5.0,4.0,More than 6kW,Under $3000,,,,,,,False,[],0,0
51855,Neil,NSW - 2152,NSW,2152,True,2018-08-28,28 August 2018,4.75,,,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
42319,George,NSW - 2251,NSW,2251,True,2018-08-21,21 August 2018,4.67,,"Too early to comment on whether it was good value for money because it's been less than a week and the weather's been very changeable, but all's going very well so far.",0,5.0,4.0,5.0,4kW,"$6,000 to $10,000",LG,Solaredge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
50666,Paul,NSW - 2291,NSW,2291,True,2018-07-31,31 July 2018,4.75,,Very knowledgeable about the wide range of options that is solar today.A very personal business where you speak to people who know your situation.A very tidy install on a sub optimal roof design that works beyond estimates.,4.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,,False,[],0,0
46913,Anon,NSW - 2259,NSW,2259,True,2018-04-23,23 April 2018,5.0,,Very local long time in industry,5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,,False,[],0,0
45944,Chris,NSW - 2257,NSW,2257,True,2018-03-28,28 March 2018,4.0,,"Went for quality over price. However we are having a terrible time trying to get a solar meter installed from our energy provider (AGL in this instance). Countless phone calls and emails go unanswered, and they have just informed us that they have either lost or haven't actioned our original request. If there was some government agency we could complain to we surely would.",4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
43482,Glenn,NSW - 2256,NSW,2256,True,2018-01-25,25 January 2018,4.33,,,4.0,5.0,0,4.0,More than 6kW,"$15,000 to $20,000",,,,,,,False,[],0,0
39120,John,NSW - 2304,NSW,2304,True,2017-10-13,13 October 2017,4.67,,"The manager, Derek, came to do a site inspection and was very informative, telling me about advantages etc. of the many different systems available. He was impressed that my current system of 12 185W panels was still working well after 7 years and that the Eversharp Inverter had not yet failed, but he pointed out the many hot spots appearing on the panels that would eventually spell the slow demise of my system. I opted for a replacement system to be installed shortly.",4.0,5.0,0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
37290,Lorraine,NSW - 2265,NSW,2265,True,2017-08-10,10 August 2017,5.0,,"Installation went very smoothly, exactly as they explained it would happen. The tradespeople who came to my house were competent, friendly, polite and very clean and tidy.  I could not fault the company. So much more professional than the other quotes I obtained.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
32511,Dallas,NSW - 2315,NSW,2315,True,2017-08-03,03 August 2017,3.75,,,3.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",LG,Fronius,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
36218,Andrei,NSW - 2256,NSW,2256,True,2017-06-16,16 June 2017,5.0,,"A company rep or principal, actually walked on our roof and made significant observations, which competitors had missed. The competitors only used Google Earth to provide the basis to make their quote.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
35015,Anon,NSW - 2257,NSW,2257,True,2017-04-18,18 April 2017,4.25,,,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
32351,Eric,NSW - 2259,NSW,2259,True,2016-11-17,17 November 2016,4.75,,"Superior Solar are the main agent for LG panels on the Central Coast NSW. Not the cheapest by far but a quality product from a large multinational company. Advice given by Superior solar was sound and made a lot of sense. The installers were excellent. Polite, careful and quite clearly very experienced in solar installing. After sales service has been good and efficient.  My 4.2kW system (LG panels and Fronius Inverter) has produced a little over 4.0kW on several occasions. I am very happy with my system and Superior Solar. I would strongly recommend them to anyone.",4.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,,False,[],0,0
31083,Carol,NSW - 2250,NSW,2250,True,2016-07-21,21 July 2016,4.75,,This is the second installation Superior Solar have done for me in recent years.  Derek Woods came out to do the quotes; he explains all the options available and the quality of the installation and professional team is very reassuring.  Highly recommended!,4.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,,False,[],0,0
27548,Anon,QLD - 4272,QLD,4272,True,2015-09-14,14 September 2015,4.0,,,4.0,,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,,False,[],0,0
26792,Damien,NSW - 2260,NSW,2260,True,2015-07-14,14 July 2015,4.75,,"Superior solar were fantastic! Derek came out and did a thorough evaluation of the house, got on the roof and took plenty of time to explain all my options. Other companies just did a quote over the phone using a satellite photo of my house. Not really a bespoke quote in my opinion. The Superior Solar install guys were great and the system is performing well above expectations. Happily recommend!!",4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
15877,Anon,NSW - 2322,NSW,2322,True,2012-10-02,02 October 2012,4.0,,"A true indication of the efficiency can only be obtained with a site visit, not relying on web features.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,,False,[],0,0
