review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
73084,Katy,VIC - 3000,VIC,3000,True,2020-02-04,04 February 2020,5.0,,Beautiful work ! Highly recommend to my friends and family. Everything goes smoothly with SSS. No problems or worries at all !!,5.0,5.0,5.0,5.0,3kW,,Risun Technology,Goodwe,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
70788,Hui,VIC - 3072,VIC,3072,True,2019-11-27,27 November 2019,5.0,,"We just had our solar system installed - Goodwe 5kW Inverter & Risen 330W Panels. It was a pain to go through the rebate process with Solar Victoria, but once we received the QR code from Solar Vicotira, SSS had contacted straight away and advised us the installation would be within 2.5 weeks. The installation only took 2 days to complete it. Everything went really smoothly with SSS. No issue with the payment term at all, as if you buy anything online that you will have to pay in full first, isn't it !!",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",Risen,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
70376,Johnathon,VIC - 3072,VIC,3072,True,2019-11-15,15 November 2019,4.75,,"We are happy to recommend Sustainable Solar services, on top of designing our system to our needs, they gave us loads of assistance finding solutions to roof access, a cost effective maintenance schedule. Well done !!",4.0,5.0,5.0,5.0,3kW,"$2,000 to $4,000",Risen,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d0c278c62e51b5f2ab81b784f51d49260.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d0c278c62e51b5f2ab81b784f51d49260.jpg']",0,0
70359,Max,VIC - 3074,VIC,3074,True,2019-11-15,15 November 2019,4.75,,"I have been researched for a long time regarding solar, so I do have the knowledge about solar.We just had our 9.24kW System installed by SSS. They have been really helpful even I have been asking lots of questions regarding my system.Excellent work for sure, I will definitely recommend SSS to my family and friends.",4.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",Risen,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
70355,Melody,VIC - 3083,VIC,3083,True,2019-11-15,15 November 2019,5.0,,"We had really old solar system and was not working anymore. I contacted Sustainable Solar Services for service, they came within a week and provided me a service report within 3 business day and advised what is wrong with the system ( wiring issues and inverter replacement). They have completed a repair work within two weeks, no issues.Nice customer service and professional. They really know what they are talking about and full of knowledge about solar system. I would rather say they are picking their own customers instead of dealing with no respectful dumb-ass - myself working as customer service and I know sometime people really think they are special!!Thank you for your excellent work.",5.0,5.0,5.0,5.0,5kW,"$0 to $2,000",Risen,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
69699,Meredih,VIC - 3075,VIC,3075,True,2019-10-26,26 October 2019,1.25,,"This was just for a service and new inverter.They wanted full payment before arranging a service day then stuffed me around for 2 weeks. When trying to arranging for a new inverter they again wanted full  payment before arranging installation saying ""ALL SOLAR COMPANIES ASK FOR FULL PAYMENT BEFORE WORK IS ARRANGED OR DONE"". Well they don't and now another company is doing my installation. Asking for full payment, not a deposit, probably means they aren't a financially stable company.",2.0,1.0,1.0,1.0,2kW,"$0 to $2,000",,,,,,False,[],0,0
65479,Kristy,VIC - 3083,VIC,3083,True,2019-06-25,25 June 2019,5.0,,"We have system installed by Sustainable Solar Services last month, everything went smoothly. The installation only took 1.5 days to completed.After a week, unfortunately the inverter was faulty and failed and I contacted Sustainable Solar Services and advised the issue. The team is really helpful, they contacted the manufacture for me and came back within a week and change the inverter to a new one. Now my system is running really well, just need some sunshine in winter days!!!",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,False,[],0,0
61033,Joy,VIC - 3074,VIC,3074,True,2019-03-13,13 March 2019,5.0,,,5.0,5.0,5.0,5.0,5kW,Under $3000,,,,,,False,[],0,0
54172,John,VIC - 3770,VIC,3770,True,2018-10-16,16 October 2018,4.33,,"Great price for a great system.I chose this company because the balance between quality, service and price was the best.",4.0,4.0,0,5.0,More than 6kW,"$3,000 to $6,000",,,,,,False,[],0,0
46908,Dan,VIC - 3175,VIC,3175,True,2018-04-22,22 April 2018,2.25,,Soon after commissioning an inverter error started to be received. I couldn't get any support from the installing company. The Inverter manufacturer in Australian diagnosed the error as being caused by earth installation error. I have to bring in an electrician to rectify this problem.,3.0,3.0,2.0,1.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
28944,David,VIC - 3181,VIC,3181,True,2016-01-04,04 January 2016,4.75,,"Having personally selected SSS on the basis of its informative website, we received excellent service from start to completion of the installation of our 3kW solar system. We were provided with clear and adequate understanding of the technical considerations upon which we based our decision to proceed with the selected panels and inverter, which were installed as scheduled by an efficient and friendly team. Guidance on the process by which the grid connection was coordinated was clearly explained, thereby ensuring a stress-free process throughout. A very professional company worthy of your closest consideration.",5.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
28930,David,VIC - 3000,VIC,3000,True,2016-01-02,02 January 2016,4.75,,,5.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
28544,Margaret,VIC - 3032,VIC,3032,True,2015-12-01,01 December 2015,4.75,,"SSS very ably came to my rescue when I discovered that my installer  had not completed necessary paperwork after installation of my solar system. Fortunately, SSS rectified this oversight with a degree of courtesy, efficiency & competence which seems to be rare in the solar industry.I have no hesitation in recommending this company to anyone contemplating venturing into the world I'd renewable energy. (That should be everyone!)",4.0,5.0,5.0,5.0,3kW,Under $3000,,,,,,False,[],0,0
28388,Ingrid,VIC - 3079,VIC,3079,True,2015-11-17,17 November 2015,5.0,,"We wanted solar and the associated benefits but werenâ€™t across all the technical aspects. Fortunately our son in law had identified SSS being an Electrical Engineer and had evaluated the best hardware options which we used likewise. In terms of dealing with SSS, they were able to look at our roof and recommend a couple of different strategies to consider. Use of the Zeversolar inverter with its multiple power point trackers allowed us to have two separate arrays, each individually optimised as one faced north and the other west. This additional complexity was no problem for SSS. Their installation was on time and extremely neat, and we are delighted we are now able to time shift some of our household loads to use solar rather than the grid. The wifi feature allows us to review real time solar data and review monthly/yearly and total solar generated. Very cool! The whole experience was entirely hassle free, SSS did all the paperwork, and we would recommend SSS highly.",5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
28324,Kendrick,VIC - 3079,VIC,3079,True,2015-11-12,12 November 2015,4.75,,"Dealing with SSS was a breath of fresh air compared to others who quoted on our job. No high pressure sales tricks, and the guys were genuinely excited and passionate about bringing the best solar solution to your home, rather than making a quick sale. Installation was done with their own certified installers, all quality tradesmen, and was well communicated before, during and after the actual installation. Their knowledge of the pros and cons of the various hardware were all clearly explained and they only deal with quality Suppliers. Price wise, whilst not the absolute cheapest, they were very competitive. With such a long term investment, one must consider the reliability of the system over absolute cost as a priority. I can 100% recommend these guys for a top quality and professionally installed solar system and I have recommended them to many friends. I look forward to many good years of solar generation.",4.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
27647,Anon,VIC - 3043,VIC,3043,True,2015-09-22,22 September 2015,4.5,,Sustainable Solar Services were great to deal with. Quality panels and inverter with excellent workmanship. Highly recommended .,5.0,4.0,4.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
26800,Barry,VIC - 3016,VIC,3016,True,2015-07-15,15 July 2015,4.25,,"Dealing with Sustainable Solar Services was a pleasant experience from start to finish. The personnel were professional, friendly and knowledgeable, and the installation was prompt and well done. The system can be monitored around the clock, either in home or online and your power generation or system history can be seen at a at a glance. I would happily recommend SSS to anyone considering a solar system.",4.0,4.0,4.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
26355,Kylie,VIC - 3059,VIC,3059,True,2015-06-03,03 June 2015,5.0,,SSS go above and beyond with their products and service. i highly recomend this company - very professional and customer service plus plus!!,5.0,5.0,5.0,5.0,4kW,Under $3000,,,,,,False,[],0,0
26054,Charles,VIC - 3072,VIC,3072,True,2015-05-01,01 May 2015,5.0,,"Charles Sandford Woodturning & Joinery has around 20 staff at the factory in Preston. We make a wide range of wood products; from new custom designed furniture, shop fittings, renovated kitchens to antique restorations.Charlie has a strong commitment to minimising the environmental impact of his business and sought a quote for a large solar pv system from Sustainable Solar Services (SSS) last October (2014).The products offered compared favorably with the specifications of most popular brands and were actually a bit cheaper.The options available for extended warranties on the components were a source of comfort for us. As were the qualifications and awards held by the staff at SSS.We were limited in the size of system we could attach to Jemenaâ€™s grid (30kW limit without extra engineering expenses). Their staff came out to the factory and discussed our particular needs, then presented us with a well-fitted design.Our system consists of 129 JinkoSolar 260watt modules, and an Aurora Trio 27.6 kW inverterâ€¦and it was good to see it produce 30kW on the very first day of operation.We are happy to recommend Sustainable Solar services, on top of designing our system to our needs, they gave us loads of assistance finding solutions to roof access, a cost effective maintenance schedule, and a good rate on our finance package. We will soon be building a second new factory building on our property by the Darebin Creek and we have no hesitation asking Sustainable Solar Services for input on a bigger solar system that suits our energy demands.5 stars.",5.0,5.0,5.0,5.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
