review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
53572,Roger,WA - 6168,WA,6168,True,2018-10-03,03 October 2018,2.0,,4 of 8 panels have a fault i payed $7000 for this cheep rubbish and not happy who is going to fix this?,1.0,2.0,4.0,1.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
21603,Peter,WA - 6152,WA,6152,True,2014-02-05,05 February 2014,2.75,,"The sales and installation process were good. However the inverter broke down after approximately 18 months and Sustainabode had not replaced it after more than 4 months now. Ironically, the friend who recommended me to Sustainabode also experienced a breakdown in her inverter. Of late Sustainabode had not been taking calls and there has been no information as to when the problem will be fixed despite representation that there is a 5 years warranty. I relied on the expertise of Sustainabode to recommend a reliable solar system and feel let down that it has installed a poor quality product in my home.",4.0,1.0,4.0,2.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
21294,Anand,WA - 6112,WA,6112,True,2014-01-04,04 January 2014,4.5,,"Me and one of my mates went with this supplier through a referral from another mate. Pricing was very good value for money, installation date was much earlier than expected, during installation everything was done professionally including cleaning and removal of rubbish from the work area. Along with installation we had some minor repair work done on my water fountain pump at no extra cost, would recommend Sustainabode to any one who is in the market for solar panel installation.One issue is that their communication is patchy after initial sign up, but eventually they got back to me.",5.0,5.0,5.0,3.0,3kW,Under $3000,,,,,,False,[],0,0
21153,Anon,WA - 6233,WA,6233,True,2013-12-19,19 December 2013,3.0,,,4.0,3.0,4.0,1.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
19462,Abdullah,WA - 6110,WA,6110,True,2013-07-24,24 July 2013,3.67,,"I have purchased a 3.5kw RCE panels with SMA inverter from Sustainabode.Only had the system for about a week now, but here is my experience with them so far.Company rep home vist was very useful.Communications with Sustainabode was good, they have kept me updated regarding some delay on panels arrival.They offered me more expensive panels when my REC panels are suspected not to be available.Installation date was within the expected time frame.The installer turned up with wrong panels.Installer came back later on same day with the correct panelsInstaller had to finish the job next day due to broken tile.Installer is generally good.Installer did not activate Bluetooth feature! Which is a real shame.make sure they do it for you.Based on my own experience and is my genuine opinion of this company is good. but you need to keep vigilant.",4.0,,4.0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
19189,Jason,WA - 6082,WA,6082,True,2013-07-01,01 July 2013,4.75,,It is definitely worth obtaining a number of quotes and doing your research on systems that are available as well as differences between microinverter systems and string systems before signing anything.,5.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
18308,Harrrie,WA - 6076,WA,6076,True,2013-04-18,18 April 2013,4.0,,This was an system extension from 1 kW to 2 kW.,4.0,4.0,4.0,4.0,1kW,Under $3000,,,,,,False,[],0,0
18155,Hiral,WA - 6112,WA,6112,True,2013-04-03,03 April 2013,4.5,,I would highly recommend sustainabode for any solar related jobs.,5.0,4.0,4.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
17879,Bev,WA - 6210,WA,6210,True,2013-03-08,08 March 2013,3.25,,we have an inverter that is not working after 18 months and have rung and rung as it was garuanteed for 5 years. And not getting any answers. We now have a power bill which we haven't been getting up by 300%. would not recommend them to anyone. The warranty is obviously not worth the paper it's written on.,4.0,3.0,5.0,1.0,1.5kW,Under $3000,,,,,,False,[],0,0
17792,Anon,WA - 6069,WA,6069,True,2013-02-28,28 February 2013,3.67,,"We used Sustainabode as they were the only ones who turned up to the appointment they booked with us.They explained the systems and options very clearly, the price was about what we expected so we booked them up.Modern Solar made an appointment to see us then just didn't turn up. The office said the salesperson would call later but never did.",3.0,4.0,0,4.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
