review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
115341,Owen,NSW - 2119,NSW,2119,True,2023-10-09,09 October 2023,5.0,,"I had a 19kWh system installed about 2 years ago and more recently 2 x Powerwall 2's.From first contact to completion of both installations the process was simple and smooth, with paperwork handled by Ines & installation by Alex.A great team to deal with and all completed as promised. Alex was very proactive during design & has always been available for support.The system has functioned flawlessly to date.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Hyundai Solar,Enphase,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e780d0d9a8715baaabcdbca53dc2c9e40.jpg']",0,0
105562,Hannah,NSW - 2193,NSW,2193,True,2023-09-18,18 September 2023,4.75,,"They were really helpful over the phone and happy to come out to the house to discuss further.Installation was quick, efficient, and they left the place spotless.So far, we are very pleased the system and would recommend Sydney Solar and Air.",4.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",Hanwha Q CELLS,Enphase,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
111826,Dennis,NSW - 2223,NSW,2223,True,2023-06-26,26 June 2023,5.0,,"Right from the start all enquiries and quoting were prompt, efficient and competitive. I sort 3 separate industry quotes by myself and decided on Sydney Air & Solar for pricing and equipment quality. I had a number of revisions and nothing was too hard for them to accommodate.Installation was completed while we were not at the property and it went flawlessly. Even a few broken tiles, Alex was able to rescue extras via a neighbour and install. At final handover/commissioning there was a small electrical problem, Alex stayed onsite till it was corrected. Even hopped back onto the roof to replace a few extra cracked roof tiles.............Top Customer Service!The Enphase system was so neatly installed in our power box and the associated monitoring is an excellent App and support from Alex and Ines and the team is first class.",5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",Jinko Solar,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1fdf55be56c521e9c80a48f773c3dfd40.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/160e13ad877245dfbc27a42d6d0f85931.jpeg']",0,0
101419,Paul,NSW - 2036,NSW,2036,True,2023-05-17,17 May 2023,4.75,,"The quoting process was congenial and informative.Despite intermittent inclement weather, the installation was completed in one day.The installers were punctual, polite and tidy. The head electrician stayed on to resolve an electrical issue that could have required another visit.Customer service has been excellent. The grid connection will be complete when the energy retailer visits next to inspect the meter.",4.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",QS Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/fbc55f5dcaab15778b05743107389369.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/81e547a6c433d74c9e64e4e808dcdbbc.jpeg']",0,0
106989,John,NSW - 2136,NSW,2136,True,2023-01-03,03 January 2023,4.75,,Alex and the team were great to deal with and installed a quality solar system with no hassles. Everything was done within the time frame suggested. Would highly recommend.,4.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Hanwha Q CELLS,Enphase,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
106346,Andrew,NSW - 2212,NSW,2212,True,2022-12-14,14 December 2022,5.0,,"From quote to installation - quick, easy and no nonsense.Quote was competitive and easy to compare.The team was friendly and informative.Installation was quick (one day) and the team cleaned up.They organised the grid connection and new smart metre.Their after sales\installation help was great.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Hanwha Q CELLS,Enphase,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
105508,Chris,NSW - 2210,NSW,2210,True,2022-11-18,18 November 2022,5.0,,Installers were punctual and tidy. There was a quick turn around time from quotation to installation.Installer/engineer did site inspection prior and offered post install support.,5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",Hanwha Q CELLS,Enphase,,4.0,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f49dc2b434d57b5cc85e6709dabbc83c0.png']",0,0
104538,Sophie,NSW - 2151,NSW,2151,True,2022-10-17,17 October 2022,5.0,,"I got multiple quotes for installing Enphase system and Sydney Air and Solar provided the best price. Sandy helped to quote and coordinate the installation very efficiently. Alex visited site prior to installation and to design the layout. Great workmanship on installation as well. My place has shading issues from big trees, but we still get decent solar production. Very happy with their job!",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",LG,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/210a9bc6e84e47f1b352103437e49b990.jpeg']",0,0
104536,Ross,NSW - 2203,NSW,2203,True,2022-10-17,17 October 2022,5.0,,"Great customer service, install was quick and efficient and so far we are very happy",5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",Hanwha Q CELLS,Enphase,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png'],0,0
104522,David,NSW - 2759,NSW,2759,True,2022-10-17,17 October 2022,5.0,,"Alex and his professional team were fantastic and easy to deal with.The team turned up nice and early and completed the job over 2 days with no fuss and cleaned all their work spaces.I obtained quotes from 6 different installers before deciding on Sydney Air and Solar based on their cost, quality of system and transparency. I have a somewhat complex roof and the team were happy to install the panels on 4 arrays based on our household's energy usage needs. This was not the case with other installers who I had contacted.The only hiccup was my email address was entered incorrectly to access the Enphase monitoring but was sorted out on the spot by Alex with a phone call to Enphase for it to be corrected before he left for the day.",5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",Hanwha Q CELLS,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/95ba9b355c32a5b6fdbd32095bb757e80.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/527645945b1568e8eac064746ce656571.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3b14c335a165d9723984544c3cccaf952.jpg']",0,0
