review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
106603,Haydn,WA - 6164,WA,6164,True,2022-12-20,20 December 2022,1.75,,"Salesperson extremely pushy and felt like a used car salesman, turns out that was his old profession.As far as installation goes was quite neat and looks the goods.System has only managed to save roughly $20 per bill which is grossly under what was estimated.Wasn't until after installation we realised how much over priced they are compared to majority of other solar companies around (lack of research on my end). Looks like we spent about $4k more than competing companies for the same packages.Customer service was hit and miss, very good at beginning when getting system installed and online but after that have had issues regarding performance and all they do is come back saying ""looks good on our end, use it better""",1.0,1.0,3.0,2.0,6.6kW,"$8,000 to $10,000",Canadian Solar Inc,Canadian Solar,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_canadian-solar.png']",0,0
99620,Matt,WA - 6019,WA,6019,True,2022-05-03,03 May 2022,5.0,,"Sam Dihm visited my property and provided clear articulate answers to all my queries. Sam covered the panels, inverter, installation and optional finance thoroughly and efficiently. He reminded me regularly that Technaus Solar will be in Perth for the long haul to provide support through the life of this investment in solar energy.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Axitec,Growatt,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_axitec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
77067,Michael,WA - 6069,WA,6069,True,2020-05-26,26 May 2020,4.25,,"Brett Johnstone the salesman was very patient and helpful. He answered all my questions and gave good advice.I even visited the depot unannounced to check them out and they were very helpful and accommodating.They were not the cheapest but I am happy I got a quality system that should see me through 10 years at the very least.The installers arrived on time and advised me that the planned panel layout was not the most efficient and changed it to maximise the output. Although a couple of tiles were broken the installers informed me and luckily I had some spares which they replace the broken ones with. They helped set up the wifi access so I can monitor the output via na app.I wasn't asked for a deposit, which surprised me, and was simply billed after the successful installation.I would recommend TechnAus and Brett Johnstone.",4.0,4.0,4.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
76870,Shannon,WA - 6125,WA,6125,True,2020-05-18,18 May 2020,1.0,,"Using this company was the worst experience I have ever had, it took 6 months to get the system fully installed and the level of un-professionalism with the staff was unlike anything I had ever experienced to the point that we had to seek legal advice from a solicitor, once fixed we never received an apology or acknowledgement of there failings towards us, won't recommend to use them.",1.0,1.0,1.0,1.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
67350,Craig,WA - 6121,WA,6121,True,2020-04-15,15 April 2020,4.0,,The quoting process from Technaus was very good.salesman was informative.Company organised the connection to the grid and that was done quite quickly.Installers appeared rushed. Very quick rundown on the inverter at the end of the installation .Installation not what i expected.Installer seen walking across one of the installed panels.,5.0,5.0,2.0,4.0,6.6kW,"$4,000 to $6,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
75011,Charmaine,WA - 6061,WA,6061,True,2020-03-30,30 March 2020,5.0,,"From the first communication with Brett Johnstone the salesman through to the final installation of our panels nothing but great service and follow up. Andy Forster the installation co-ordinator does an awesome job answers all questions and from start to finish was quick installation even with slight delay from Western Power. Brett is a salesman who doesnâ€™t believe in pushy, explains everything easily and ensures you are getting the best system.. installers turned up on time and did a expedient install.  Left everything tidy and explained the investor itselfHighly recommend Technaus Solar for good honest service quick install and friendly staff. Great value for money as well",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
65858,Vivien,WA - 6154,WA,6154,True,2020-03-07,07 March 2020,4.75,,"Technaus was the most professional of the suppliers, from the salesperson (Brett) to office staff (Andy) to actual installers (Kenneth's team), nothing was too much trouble and they were all very helpful and showed lots of patience answering all my questions  Thanks Technaus, will certainly recommend you to anyone I know getting panels.",5.0,4.0,5.0,5.0,6.6kW,"$3,000 to $6,000",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
65014,Celin,WA - 6155,WA,6155,True,2020-02-10,10 February 2020,1.0,,,1.0,1.0,1.0,1.0,5kW,Under $3000,JA Solar,Sungrow,SunGrow,1.0,1.0,1.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/bb16a9298f0a92bdadee9aeb58841b53.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/810411c53cbf927870ed2e2a75bdf824.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/4ed8b68f64824b1c90dc00397f10cb8c.jpg']",0,0
73156,Wayne,WA - 6110,WA,6110,True,2020-02-05,05 February 2020,4.75,,"From start to finish this process was clear, informative and efficient..thank you Technaus Solar.",4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,,,,,,False,[],0,0
63865,Damien,WA - 6154,WA,6154,True,2020-01-08,08 January 2020,5.0,,,5.0,5.0,5.0,5.0,More than 6kW,"$3,000 to $6,000",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
62918,Tien,VIC - 3171,VIC,3171,True,2019-12-20,20 December 2019,4.25,,"Technaus Pty Ltd did not provide a sale contract with terms and conditionsTechnaus Pty Ltd has avoided to  provide me its written guarantees for workmanship with terms and conditions.Technaus Solar is a member of Clean Energy Council, but it also fails to provide required documentations as printed on page 17 of Guide to installing solar for household, published by that council.The installation was carried out by subcontractors and is subject to the inspection. Depending upon the outcomes of that inspection, i might change my rating for installation.",4.0,4.0,5.0,4.0,6kW,"$6,000 to $10,000",Trina,Fronius,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
70352,Al,VIC - 3042,VIC,3042,True,2019-11-15,15 November 2019,3.75,,"The sales process was really good. The sales person came out on site, as requested, and did a proper assessment of the site. He was prompt in getting a quote back to me and answering all of my questions. He was also excellent in maintaining contact with me without being pushy or pressuring me to buy. This ultimately resulted in me choosing Technaus Solar.The installers were excellent. They were prompt, courteous, and professional and they did a great job. The installation of the panels and the inverter was done very neatly and taking into consideration my requirements. Even when there was an issue with the smart meter, they took it on board to arrange a replacement and have it installed a couple days later.My only disappointment was with the communication and interaction with the head office. Following payment of the deposit, it took days for someone to contact me to let me know timing of when I should expect installation. I ended up having to ring them. Once a date was set, railings had to be put on the roof. No-one informed me of when they would be coming so it was just lucky that I was at home when they turned up to do it. When there was an issue with connecting to the wireless, the head office called me and I felt they were a little aggressive in terms of making me sort it out.  All fairly minor issues, but it was a bit of an annoyance. They could certainly improve on their communication.",4.0,4.0,4.0,3.0,10kW,"$12,500 to $15,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
69592,Stephen,WA - 6171,WA,6171,True,2019-10-22,22 October 2019,5.0,,Brett was great from the moment we first communicated.  Offering a variety of options at different pricing to assist in choosing a value for money system suited to our circumstances.Andy was great with communication on the sales order and arranging the installation date around our availability.Caleb and his offsider was excellent throughout the installation and helped with setting up the system on the Solar.web app.All in all the experience was great from start to finish and I would highly recommend Technaus Solar.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",REC,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
