review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
133906,David,QLD - 4650,QLD,4650,True,2025-05-29,29 May 2025,5.0,,"I had a battery installed May 2024 to take advantage of the Queensland government $4000 rebate scheme. The requirements of the scheme were very tight, you could only use specifically listed equipment and specifically listed installers. Where we live there weren't many listed installers and non of those were very quick to offer quotes. I found lots of installers on the Sunshine Coast, but many weren't interested in travelling to me for the job. Tenmen were quick to quote for my specific situation (I had a hybrid inverter already), and were the only company to send someone to look at our house and talk to us at home. They didn't have the cheapest system, but were the most convincing option.They did the installation in 4-5 hours (they needed to replace my hybrid inverter :( ) The 16kWh sungrow battery and inverter have been solid for the past year. There was an issue concerning the way it was reporting my production and usage on the website, but the communication and the aftersale service was great, resulting in them sending an electrician back to my home to rectify this minor problem.Great work Tenmen Electrical!!!!10 out of 10!!!",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
130022,Paul,QLD - 4561,QLD,4561,True,2025-01-21,21 January 2025,4.5,,Friendly and helpful throughout the whole process. Installed and working as they said it would. Having some hassle getting the solar cloud app working but other than that I would highly recommend them.,5.0,4.0,5.0,4.0,13kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
122976,Leisa,QLD - 4650,QLD,4650,True,2024-06-12,12 June 2024,4.25,,"Workman very polite and friendly.  Installation work was great. Connection to grid was painful due to their failure to lodge EWR and i didn't realise until 5 months after installing, to sort this was disappointing, but in the end all got sorted and happy with system.",5.0,5.0,5.0,2.0,6kW,,Jinko Solar,Goodwe,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
118175,Daniel,QLD - 4575,QLD,4575,True,2024-01-08,08 January 2024,4.75,,"Team was very helpful and knowledgable, and communication was good. System was installed on time and they handled all the grid connection process.",5.0,5.0,5.0,4.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
116358,Stephen,QLD - 4507,QLD,4507,True,2023-11-08,08 November 2023,5.0,,"Great staff, great price, fast and friendly.  I highly recommend them.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",,,,,,,False,[],0,0
116112,Allan,QLD - 4575,QLD,4575,True,2023-10-31,31 October 2023,5.0,,"We have utilised Tenmen Electrical on numerous occasions throughout renovations and this time around for the supply/installation of a solar system. Great team to work with from quoting all the way through to the completion of the job. Arrived on time, completed the works in a timely manner and cleaned up the site afterwards. Highly recommend Tenmen Electrical",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
115860,Andrew,QLD - 4519,QLD,4519,True,2023-10-24,24 October 2023,5.0,,"Customer service was great, very thorough with install and follow up service",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
114184,Andrew,QLD - 4551,QLD,4551,True,2023-09-06,06 September 2023,5.0,,"Tenmen, from first phone call to commissioning of a 6.6kw solar system were nothing short of professional,great communication throughout the process,great technicians performing the work,very happy with the whole process,I highly recommend Tenmen for both solar and the air con they also repaired as a separate issue,5stars",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112487,Will,QLD - 4551,QLD,4551,True,2023-07-19,19 July 2023,4.75,,"Very happy with the professionalism, service, advice, and flexibility of Tenmen staff. They did exactly what was promised. Thanks for making the whole process easy from first enquiry to quotation then installation. We were well informed and the whole process was very smooth. Just waiting for Energex to do their thing now ???? and we’ll be sorted.  Thanks again Tenmen!!",5.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
111745,Kylie,QLD - 4564,QLD,4564,True,2023-06-22,22 June 2023,4.5,,"Tenmen Electrical reviewed my home, Jamie from Tenmen Electrical was able to explain various options regarding my home re electricity needs and best efficiency for my panel positioning. Competitive pricing but also more importantly an absolute stellar team did superb installation job, completely seamless with nil issues at all. Would highly recommend.",4.0,4.0,5.0,5.0,13kW,"$12,500 to $15,000",REC,SunGrow (Other),,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png'],0,0
