review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
75466,Gabrielle,VIC - 3182,VIC,3182,True,2020-04-12,12 April 2020,4.75,,They provided a Detailed Quote. Good Price. Skilled Technicians. All paperwork completed properly.A Job well done.Im glad they convinced me to go with the Victron Equipment.thank you,4.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",SunPower,Victron Energy,Victron Energy (Other),5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_victron-energy.png']",0,0
71094,Summer,VIC - 3124,VIC,3124,True,2019-12-05,05 December 2019,4.5,,"We are very happy with the service provided by Green Power. We have a delicate roof, and the job was knocked back by a few other solar companies, however, Green Power were more than happy to take on the job. The first site inspection was followed up by a second site inspection by the technician, and then the crew installed the job within 3 weeks of first contact.They installed quality equipment, a clean installation, and on completion, we were instructed on how the system works and how to check the performance.",4.0,5.0,5.0,4.0,6kW,"$6,000 to $8,000",Canadian Solar Inc,Victron Energy,BYD,4.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_victron-energy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
65723,Margaret,VIC - 3024,VIC,3024,True,2019-07-01,01 July 2019,4.75,,"The 5KW Solar Installation by The Green Power Company was first class in every way, the system is doing what I thought it would do and save me many dollars. Sales rep Adam was very knowledgeable, pleasant and explained in detail all questions I had listed, and no pressure was placed on me to buy, as the woman of the house this was an easy decision for me to make.",4.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,,False,[],0,0
58751,Korey,VIC - 3083,VIC,3083,True,2019-01-18,18 January 2019,4.75,,We have a small installation but the installation was very pleasing. They put a bigger inverter than we needed in so that we can add to the system later without the need to spend more on a new inverter. Very happy with the price and service.,5.0,5.0,5.0,4.0,3kW,"$3,000 to $6,000",,,,,,,False,[],0,0
54253,Alessandro,VIC - 3133,VIC,3133,True,2018-10-17,17 October 2018,4.5,,"After Shopping around for years, I finally made the decision to go with GreenPowerCo. Unlike most solar companies, this company had a long history, going back to 2001, and they are all technicians and engineers. They provided quotes on quality equipment brands such as Sunpower, QCells, Canadian Solar solar panels and they recommended Fronius and SMA inverters. I opted for a 5kW Canadian Solar panel system and Fronius inverter. The quotation was very detailed with engineering diagrams, and the quote was followed up with one of the installers to do a site inspection prior to installation.The installation was done by one of the company owners, and he was very polite and took care with the installation, explaining the system functionality, and operational procedure. They cleaned up well after the job and handed me a folder with all the system details and performance estimates.The price they offered was about market average, and I am very pleased with the solar system so far.I can recommend this company.",4.0,5.0,5.0,4.0,1kW,"$6,000 to $10,000",,,,,,,False,[],0,0
31887,Vera,VIC - 3146,VIC,3146,True,2017-06-04,04 June 2017,4.75,,"We had three quotes previously and two more recently but The Green Power Co was the only one to suggest the micro-inverters for better efficiency because our roof is sometimes partially shaded by trees. The Green Power Co installed our system without any problems and so far we are very happy with everything. It's great to watch the solar power production graphs:)Solarquotes website was certainly very helpful for comparing the panels, inverters and finding more information.Thank you.Vera",4.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",Phono,Enphase,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
35364,Anon,VIC - 3977,VIC,3977,True,2017-05-04,04 May 2017,3.75,,"The information gained through Solar Quotes was invaluable, but the interaction with the three companies was very mixed.One could not supply black framed panels. (An estate requirement)One was expensive but was quick to drop the price when I told him he had not got the job. Should have given me the best price first.One was VERY late to the party and was not prepared to do any paperwork for submission to the Power company.We eventually went with The GreenPower Company after a neighbours recommendation. They came out looked at the premises quote with 3 option and we accepted the middle one.Their punctuality was poor but their work (when they arrived) was very good and they knew what they were doing.Their after sales service has been good.",4.0,4.0,3.0,4.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
34298,Anon,VIC - 3840,VIC,3840,True,2017-03-14,14 March 2017,3.25,,"The Company installed a 14kW system with 48kWh battery storage (grid tied).  They did not follow the guidelines from the distributor (prior to install) by receiving approval to feed-in to the grid - the approval was not provided until approx. 6 months after install.  They were very quick and easy to ask for final payment based on 'in good faith' promises to repair anomalies, however 2 years after install have heard only crickets, and they ignore all communication relating to this. To their credit, they did use premium quality products (that I specifically asked and paid for), and the quality of the products is the thing that has kept me reasonably satisfied with the system (although the system does not do what was quoted, terms of performance overall, and in terms of grid-feed-in (where they installed an under-performing Selectronic SPPro inverter).  Communications with Selectronic have been fruitless, and the only benefit I gained from communicating with Selectronic was that I learned that the operating/software manual were underdeveloped (and hence could not be relied upon).   I have had one warranty type call-out (to replace batteries that had gone awry) - this they attended to within a reasonable timeframe, and did fix the problem properly.   I have considered taking this further, however, following a cost benefit analysis, have decided it is not worth the cost (although irksome in terms of principle).  I plan to significantly increase the size of this system (> double generation capacity/battery storage), and will not seek a quote from the company for the work (The company management is aware of this missed opportunity).  I will also not consider another Selectronic product as part of this upgrade.",3.0,4.0,4.0,2.0,More than 6kW,"more than $20,000",,,,,,,False,[],0,0
24670,Ivor,VIC - 3977,VIC,3977,True,2014-12-17,17 December 2014,4.0,,The jury is out on the installation and its effectiveness until the system is installed early in 2015.My decision was heavily influenced by a number of residents on our estate who had used our chosen supplier.The market is clearly crowded and it is not easy for a person to assess the relative costs/benefits of different panels and inverters.,4.0,4.0,0,4.0,4kW,"$6,000 to $10,000",,,,,,,False,[],0,0
23761,Chris,VIC - 3978,VIC,3978,True,2014-09-18,18 September 2014,4.75,,"The Green Power Company were and remain a pleasure to deal with. Their installers were professional, all highly qualified in both normal electrical and solar installations fields. They arrived on time and cleaned up at the end of the job. Their head technician was fantastic in running us through everything to do with our installation....board controls & operation , software installs and other sundries. The office staff were brilliant to deal with also which is where many of the other companies fell down badly in their dealing with us as potential customers. And The Green Power Company are a local Melbourne company , so if there are any future issues getting hold of someone for warranty or service calls won't be a problem. They've also been around as an electrical company for a long time before solar power installs were around.",4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
