review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
107846,Steve,ACT - 2607,ACT,2607,True,2023-02-02,02 February 2023,2.0,,"The installer left rubbish on the roof (lunch, coffee, nuts bolts and cable ties) they were unable to supply the battery as quoted and rather than discuss they demanded payment for work partially complete when I complained to the manager he asked what I wanted not this is what we can or can’t do for you. The monitoring was always different from our bill, I contacted the solar family and they did not return any of my calls, I also called the energy supplier and they were very helpful but meetering was still off. I have since had a battery installed with a new inverter and the monitoring is amazingly accurate (both were SolarEdge inverters) the new installation is so much cleaner and very professionally installed. The installer talked me through every step for the whole day on site (Solar Gain).",1.0,5.0,1.0,1.0,9kW,"$10,000 to $12,500",Jinko Solar,SolarEdge,SolarEdge,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
105274,Stephen,ACT - 2600,ACT,2600,True,2022-11-11,11 November 2022,1.0,,6kw system installed 2020.  Since have had a fire on my roof from the connectors or isolators and system shutdown. Unable to contact the company although now trading as CRE Electrical. Contacted them but they have not replied for 3 months.Have engaged another firm who state the whole install and wiring is 'shonky'What can be done?,1.0,1.0,1.0,1.0,6.6kW,"$6,000 to $8,000",SunPower,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82812,Adam,ACT - 2607,ACT,2607,True,2021-10-29,29 October 2021,4.75,,Sales and quote was mostly efficient.  There was no site visit before installation.  The design needed a little altering on installation day as the number of panels in each of the two strings was not properly set.  This did allow us to add an additional panel to reach 6.66kW.  We had some installation delays but only due to inclement weather.  Installation process was efficient and all installers were polite.  Setup technician was very informative and helpful.  I would give them at least 10 out of 10.  Installation was just completed today and we are running on solar power now but will need to wait until the power company installs the smart meter before we get fully operational regarding tariffs.  A very happy customer.,5.0,5.0,4.0,5.0,6.6kW,"$10,000 to $12,500",Qcells,Solaredge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
79556,Adam,ACT - 2903,ACT,2903,True,2020-07-24,24 July 2020,5.0,,I can't rate The Solar Family high enough - the whole experience from first contact to sales to install to after-sales support has been perfect.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $15,000",,,,,,False,[],0,0
75155,Phil,ACT - 2913,ACT,2913,True,2020-04-03,03 April 2020,4.75,,"Their salesman actually visited the house (not all companies did and it isn't necessarily required) and this provided a great opportunity to raise numerous questions and he provided some very useful facts that aided us in selecting the right system. They provided two quotes for slightly different systems - we had agreed to this during the visit. When comparing all quotes beween different installers, Solar Family was quick to respond to questions via email so that I could make an informed decision. Due to COVID-19 the selected panels were not available so they replaced them with the same panel but slightly less power. To compensate, they provided two additional panels at no extra cost to bring the system back to spec (actually I got more power). The installation team were very professional. It was a large job spread over a few days and they tidied up completely after work each day. It was great chatting the the business owner on site about solar in general and my actual system. Their admin staff were very courteous via email and we were always kept us informed via phone texts.",4.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",SunPower,Solaredge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
71876,Rose,ACT - 2902,ACT,2902,True,2019-12-26,26 December 2019,5.0,,"They were very prompt with a visit and followed up the same week with a quote.Also offered me the same top quality panels I had installed from my first solar system.They had plenty of time to talk me through issues and about what I wanted and compromised with me for the best system financially, technically.and for the future.Could not be happier!",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",SunPower,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
71444,Derek,ACT - 2914,ACT,2914,True,2019-12-13,13 December 2019,5.0,,Friendly and helpful sales team. Installer was very professional and friendly. Service after install was great.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
69209,Mike,ACT - 2615,ACT,2615,True,2019-10-11,11 October 2019,5.0,,"I had done some research in relation to solar installation / quality in products and local suppliers. I must say it really did pay off. I was happy that I chose The Solar Family. Every step of the way has been a breeze. Excellent communication, attentive to detail, very well organised, technicians / installers were very friendly and professional. I would 100% recommend The Solar Family to anyone looking at getting Solar fitted. What more can I say, They know there stuff. Thanks again guys.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/418f747948f8bcb88a607bbc342746560.jpg']",0,0
68642,Peter,ACT - 2902,ACT,2902,True,2019-09-23,23 September 2019,5.0,,"The Solar Family provided excellent service all the way through the quotation process, orgainsing everthing for the install, then completed the job on time, with very professional installers to a high standard. After Sales support has been great too.Their quote was very competitive in a buyers market. I selected The Solar Family as they provided the best value for money, combined with peace of mind from a reputable local company. They are a down to earth, trustworthy company well worth having a look at.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
68589,Jim,ACT - 2607,ACT,2607,True,2019-09-20,20 September 2019,5.0,,"We have recently had a solar system installed on our roof by â€œThe Solar Familyâ€. From the first contact we have found its representatives to be extremely helpful and remarkably efficient.Initially, the sales representative discussed our needs and the suitability and costs of different solutions until we fully understood the proposed system.  From then on the firm handled all administrative details and the schedule for installation.All went without a single hitch or tile damage.  The working team could scarcely have been more effective or polite and the installation of some 20 panels was completed in just a few hours.  We couldnâ€™t have been helped more or have been more satisfied, and we would recommend â€œThe Solar Familyâ€ without hesitation to any friend contemplating investing in solar panels.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,True,['https://www.solarquotes.com.au/img/installation/thumbnailsx83/703afe2fa5c9317228a6f10dc2a15f200.jpg'],0,0
