review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
101805,Jeremy,NSW - 2650,NSW,2650,True,2022-07-28,28 July 2022,5.0,,Great service. Really listened to what we were after and tailored their system to what we needed. Full of knowledge and understanding of the ins and outs of getting solar and the process from start to finish.,5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",SunPower,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
88132,David,NSW - 2650,NSW,2650,True,2021-03-24,24 March 2021,3.0,,Alex was great no problems there. Once we agreed with going with them Customer service was terrible booking made without our notice. Wanted to run through with them while installing was happening couldn't do that as the hours that I work. No one run through after the installation  due to workhours again. Incorrect installation due to not listening to the customer still to be sorted out. Product great but wouldn't recommend them.,4.0,5.0,2.0,1.0,8kW,"$12,500 to $15,000",SunPower,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
86279,Heather,NSW - 2644,NSW,2644,True,2021-02-01,01 February 2021,4.25,,Solar Professionals are well named. From the quoting right through to the installation and negotiation with energy providers they were prompt and helpful.,4.0,4.0,5.0,4.0,6.6kW,"$6,000 to $8,000",,,,,,False,[],0,0
85137,Brad,NSW - 2658,NSW,2658,True,2020-12-27,27 December 2020,5.0,,Really good company - while there are slightly cheaper systems out there - the fact that they back the workmanship for 10 years and  are professional both in presales and post sales.So far so good.First bill was a credit.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
85038,Richard,NSW - 2660,NSW,2660,True,2020-12-22,22 December 2020,5.0,,"Solar Professionals representative, Shaun Joyce presented well, was very informative, personable and reliable with all of his comments and suggestions.Stacey ( job programmer) in the office was very helpful and on the ball.The Installer team were efficient, well presented and respectful of our property ( gardens etc.)They arrived on time and wasted no time completing the job.I am very impressed with the whole Solar Professionals team and would happily recommend them to anybody else, especially anybody who is feeling overawed by the process. They just took the stress out of the whole process.Congratulations Solar Professionals for a job well done.Thank you",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",JA Solar,Huawei,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png']",0,0
83467,Lindsay,NSW - 2590,NSW,2590,True,2020-11-10,10 November 2020,5.0,,"Solar Professionals has been aptly named - they are very professional in everything they do.They visited our home and listened to what we needed, asking good clarifying questions. They took me through what was available and helped me to understand the advantages and potential disadvantages of each component.They provided a clear and very detailed quote with information on each component, so that I could do my own independent research.The installation went smoothly. The installers were supremely polite and sought to provide as little disruption to our normal daily routine. My wife runs a business from home and was able to continue with no disruption at all while they were here.Solar Professionals are very responsive and punctual. They were very quick to respond to my initial query and to every other message I sent to them. The solar system was installed with very little time between my initial contact and  the installation being completed.They helped me through all steps in the process of being connected to the grid, monitoring etc.I am VERY impressed and give them my highest recommendation to anyone considering solar.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",JA Solar,Enphase,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
82693,Olivia,NSW - 2643,NSW,2643,True,2020-10-19,19 October 2020,4.75,,I got 13 quotes all up (!) It was confusing as I was advised differently across different companies and it was challenging to compare apples with apples with all the different brands and quality of products - your website helped tremendously to narrow things down.The installation was punctual (a day early in fact). The installers were friendly and got the job done quickly & with care (no leaky roof tiles!)Iâ€™m still receiving advice and support re: grid connection.Exceptional service overall. Highly recommend.,5.0,4.0,5.0,5.0,5kW,"$4,000 to $6,000",JA Solar,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
82012,Peter,NSW - 2650,NSW,2650,True,2020-09-28,28 September 2020,4.5,,"Decided on Solar Professionals for a number of reasons.1. They were the only company to physically examine the roof, take exact measurements and recommend the maximum number of suitably functional panels.2. Research on the Sunpower panels used (P19?) although not their top of the range, still carried a 25 year guarantee (inc performance), the glass was thicker than LG and the method of manufacture indicated best able to deal with shade, and micro cracking.3. Installation was very smooth and professional including a team of six.4. Minor reporting problem with Enlighten was dealt with immediately with the electrician calling by promptly and fixing.5. Supplier organised with Origin to fit new meter and has also offered assistance in dealing with the electricity retailers to secure the best plan for our usage.",3.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",SunPower,Enphase,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
71020,Hannu,NSW - 2590,NSW,2590,True,2019-12-03,03 December 2019,3.75,,"The communication was timely and professional. Slight misunderstanding with the installation which the company will correct. All systems work well as expected, in general; friendly and professional communication.",4.0,4.0,3.0,4.0,6.6kW,"$8,000 to $10,000",Opal Solar,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_opal-solar.png'],0,0
36629,Andrew,QLD - 4116,QLD,4116,True,2017-07-07,07 July 2017,4.75,,,5.0,5.0,4.0,5.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
31739,Irene,NSW - 2650,NSW,2650,True,2016-09-15,15 September 2016,4.75,,Went with a supplier that actually installs it themselves and can have batteries added later,4.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
