review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
92273,Hardik,VIC - 3168,VIC,3168,True,2021-08-12,12 August 2021,5.0,,Excellent outcome and job done well on time. Quoting was perfect. Customer service was good too.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
90393,Darren,VIC - 3717,VIC,3717,True,2021-06-03,03 June 2021,4.75,,everything went well. puntual and polite installationprice as quotedvery pleased with entire process,5.0,5.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Growatt,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
89831,Kerry,VIC - 3083,VIC,3083,True,2021-05-15,15 May 2021,5.0,,Information and quotes were easy to understand and installation was quick and tidy.  Everything was ready to go after inspection.   Customer communication is excellent with queries quickly attended to either by phone or email and also via their facebook page. Mike Kring is always ready to help with any questions.,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Seraphim,SolaX Power,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
89786,Kerry,VIC - 3083,VIC,3083,True,2021-05-14,14 May 2021,5.0,,"No pressure selling, just polite information and quick and easy quoting and tidy installation.  Good customer communications if any queries either by phone, email and even facebook.  Very happy with product.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Seraphim,SolaX Power,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
79273,Say,VIC - 3556,VIC,3556,True,2020-07-19,19 July 2020,1.0,,Poor customer service. After I have approved government rebate ready for institution process but never herd from them again even took my $50 deposit awayWarning to anyone to re think about joining them,1.0,,0,1.0,6.6kW,,Canadian Solar Inc,Fronius,Arvio,1.0,,1.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_arvio.png']",0,0
68304,Jeary,VIC - 3024,VIC,3024,True,2019-09-11,11 September 2019,5.0,,The quoting and all processes was fast and well done. Thanx think solar.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko (Other),SMA,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
67934,Maritza,VIC - 3805,VIC,3805,True,2019-08-29,29 August 2019,5.0,,Excellent customer service since the beginning. I'm pretty happy with the price and the quality. All paper work done in time. Everything they promised was achieved. I recommend everyone to go with Think Solar. Especially to Sid who has been very helpful,5.0,5.0,5.0,5.0,6.6kW,"$0 to $2,000",Jinko Solar,Fronius,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
66992,Elyane,VIC - 3109,VIC,3109,True,2019-08-05,05 August 2019,5.0,,"Rushi was a fabulous salesman who guided me every step of the way. Sid answered every question and put my mind to rest about the whole process. They even set up my app connection to my inverter so I can have immediate access to the functionality of my system. They took care of all the rebate details. Well done, Think Solar!",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,Growatt,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
62148,Anon,VIC - 3352,VIC,3352,True,2019-04-03,03 April 2019,5.0,,"I recommend anybody thinking of installing solar should contact Think Solar, First.",5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,,False,[],0,0
61448,Munaf,VIC - 3148,VIC,3148,True,2019-03-20,20 March 2019,5.0,,"Look No further - You are looking at NO 1 Solar company in Solar. Yes you will have Cheaper Quotes or Fancy however I would strongly recommend Just Solar Purely due to their Knowledge, Efficiency, and Delivery...After Sales Service is ***A M A Z I N G***.",5.0,5.0,5.0,5.0,More than 6kW,Under $3000,,,,,,,False,[],0,0
57267,Paul,VIC - 3181,VIC,3181,True,2018-12-17,17 December 2018,3.75,,The people that you gave me said the job was to hard  The tiles were old But i said they are in perfect condition,3.0,4.0,4.0,4.0,6kW,"$3,000 to $6,000",,,,,,,False,[],0,0
54268,Jo,VIC - 3407,VIC,3407,True,2018-10-17,17 October 2018,1.0,,We arranged  for Imran to come and discuss our needs and signed up for a 6kw system which he said would most probably be installed the following week.  2 or 3 days later i missed a call from them. I returned  the call and got message bank. My call not returned. Rang 2 days later again message bank. Call not returned. 3 weeks later rang a third time  but this time i rang Imran's mobile. Message bank. Call  not returned. If this is an example of their customer service  we would be fools to go through with the installation. We have not paid a deposit and were not asked for one.,0,,0,1.0,5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
51810,Michael,VIC - 3461,VIC,3461,True,2018-08-27,27 August 2018,4.75,,"I am extremely happy with their service and after installation service. It took a while to install  because of the weather but once in , works fantastic. Customer service is very personal and very understanding with payment situation. I highly recommend the company.",4.0,5.0,5.0,5.0,6kW,"more than $20,000",,,,,,,False,[],0,0
51228,Gwendolyn,VIC - 3233,VIC,3233,True,2018-08-13,13 August 2018,1.75,,"Yes have to constantly ring them . Most calls were not returned. When returned always promises of fix problem then nothing happens. Salesman sold me a product that needs mobile service in area of which I do not have. When VCAT letter arrived I got service of a kind. Since having it recognised by my electricity company in February I have put back in grid about $40.00. Now in August I want the panels, battery and inverter checked. Promised again they will be in contact today. Again silence isnâ€™t there something someone can do with this company???? I used them as my local large town never returned my internet query, nor phone calls.",2.0,1.0,3.0,1.0,5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
49911,Stuart,VIC - 3350,VIC,3350,True,2018-07-11,11 July 2018,1.0,,"I could not rate these guys any worse!!!!Faulty unit at install, unit still breaking down, won't return my calls.I'm having to call the OEM constantly.Give Think Solar a miss - they bring endless hassle  !!!!I see you have a zero tolerance for fake reviews, I have a zero tolerance for rubbish service. You have my details ... call me!!!!",1.0,1.0,1.0,1.0,5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
45590,John,VIC - 3460,VIC,3460,True,2018-03-20,20 March 2018,1.25,,Wouldn't accept I was not happy with them and started to call me after hours multiple times using foul disgusting language.,1.0,2.0,1.0,1.0,More than 6kW,"$6,000 to $10,000",,,,,,,False,[],0,0
44386,Peter,VIC - 3984,VIC,3984,True,2018-02-19,19 February 2018,2.25,,What I was told the benefits would be were certainly not what we got. Even the installer said the system was too small and would never meet the 'numbers' told to us by the sales consultant.   Tried numerous times to get some answers but promised phone calls or contact has not happened or forthcoming...as recent as last week. Not heard from anyone in particular from the sales person who simply won't return our calls.Not sure what the system 'power' is...5kva?Next step is the Ombudsman.,1.0,3.0,4.0,1.0,1kW,Under $3000,,,,,,,False,[],0,0
34518,Ross,VIC - 3337,VIC,3337,True,2017-03-26,26 March 2017,2.5,,"Been 3 and half years since we had it installed, now half of the panels arnt working and to get them to come out to have a look has been a nightmare. Its been almost 4 months and still no one has come out. We contacted consumer affairs and now we need to write in a letter of demand and take it from there. They have changed address and phone number recently so be aware everyone.",3.0,3.0,3.0,1.0,3kW,"$6,000 to $10,000",,,,,,,False,[],0,0
28846,Col,NSW - 2456,NSW,2456,True,2016-08-23,23 August 2016,2.25,,We were never contacted by your local person.In desperation we succumbed to a sales pitch from one of these telemarketers from off-shore. The system cost extra because the supplier is not locally based.,2.0,3.0,3.0,1.0,2kW,"$6,000 to $10,000",Trina,SMA,,3.0,3.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
27454,Alistair,VIC - 3799,VIC,3799,True,2015-09-07,07 September 2015,4.25,,It was a well informed painless experience. The supplier was very helpful and explained things carefully. We went for a 3.5 kW system with a 5 kW inverter to give us further options later,4.0,4.0,5.0,4.0,3kW,"$3,000 to $6,000",,,,,,,False,[],0,0
12327,Anon,NSW - 2647,NSW,2647,True,2012-04-13,13 April 2012,4.5,,,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,,False,[],0,0
