review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
69686,Timothy,NSW - 2835,NSW,2835,True,2019-10-25,25 October 2019,2.75,,"Todae was contacted both when the arcing became evident and again when sunlight started showing through the back of the panels. They very bluntly replied it was not their problem and to contact Canadian solar for warranty even though Todaes contract guaranteed them for 10 years.The same batch of panels were used at 4 installations around town and all have the same faults. I have no idea what to do, and I get no response from Canadian solar either......",2.0,3.0,5.0,1.0,5kW,"$10,000 to $15,000",Canadian Solar Inc,,,2.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png'],0,0
43850,Luke,WA - 6023,WA,6023,True,2018-02-04,04 February 2018,1.5,,"After 5 years I had to engage an expert to inspect the system . It was discovered that 50% of the system HAD NEVER WORKED !!!!! . The initial installation was problematic as the subcontractor was feuding with Todae Solar and complained they were unlikely to be paid ! Given I have missed out on an income from the system of some 25K Todae solar advises that although the system was incorrectly installed they offer no compensation , Consumer law states that as i have suffered a financial loss they, Todae Solar are liable to settle with me an amount to cover my loss . It seems that my time will be spent advising others to avoid making poor choices in engaging companies that don't support products sold .",2.0,2.0,1.0,1.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
25330,IAN,ACT - 2606,ACT,2606,True,2015-02-24,24 February 2015,2.75,,"I reside in a retirement village who installed a massive solar system.  Since the installation there have been several faults with inverters.  Our village operator has been trying to get Todae Solar back under the warranty period.  This action by the village operator has not been successful and Todae don't appear to be service oriented.  They have failed to respond to numerous attempts to rectify these faults and at this time don't appear to care about customer service.  Very poor especially as our solar installation would have cost over $500,000.  Not happy Todae Solar!!!!",4.0,3.0,2.0,2.0,1kW,"$3,000 to $6,000",,,,,,False,[],0,0
21370,Terry,TAS - 7008,TAS,7008,True,2014-01-09,09 January 2014,4.25,,Love the Solar Panels and we are saving on our electricity cost.  We are saving about $5 per day.  My Sister is now also interested in installing Solar Panels and I have recommended Todae Solar.,4.0,5.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
20485,Alan,SA - 5158,SA,5158,True,2013-10-20,20 October 2013,4.0,,Not yet installed,5.0,4.0,0,3.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
19774,Isobel,ACT - 2902,ACT,2902,True,2013-08-23,23 August 2013,4.0,,I was one of many people in the ACT who signed up on 28 June 2013 with the aim of installations being completed before 30 September 2013.Todae Solar have been great in managing what is probably a huge number of customers. The installation is actually occurring today (23 August).,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
17949,Robert,NSW - 2033,NSW,2033,True,2013-03-14,14 March 2013,3.75,,"Great company to deal with.Got 3 quotes, chose by dealers (not price)Thanks for recommendations",3.0,4.0,4.0,4.0,4kW,"$15,000 to $20,000",,,,,,False,[],0,0
17944,Ross,NSW - 2620,NSW,2620,True,2013-03-14,14 March 2013,4.0,,There was no site inspection resulting in some confusion re: the no. of  phases resulting in the inverta having to be replaced.The only other issue related to the meter.The installer (as did their electrician) was adamant that we had to cable 25 meters from the garage to the power pole when we already had underground power from the garage to the house. In short our electrician shifted the meter from the pole to the house which is  also what the supplier would prefer.Other than a couple of setbacks all is good ....we are extremely pleased with the savings.,5.0,4.0,3.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
16916,Andrew,QLD - 4865,QLD,4865,True,2012-12-25,25 December 2012,5.0,,"I obtained 5 quotes in all.  I spent days reading up on all things solar.  Solar Quotes was very helpful.  Solar is an absolute minefield, and with all of the rebates, feed-in tariffs, and deadlines, the industry has attracted a lot of ""solar cowboys"".  Many of them won't be around after June 2013.I agonised long and hard before finally deciding to go with Todae Solar.  Todae were the only installer that did not send someone out to look at the job before quoting.  This made me very nervous, and I held it against them throughout the process.  Parting with 90% of the total install before you see anyone or anything on site was very scary.  Luckily, Todae Solar turned out to be legit.  Their subcontractors turned up on time.  They were very professional, and they tidied up after themselves.  My 5 kW system (Canadian Poly Panels and Growatt inverter) is very efficient - producing 25-30 kW most days.I'm very happy.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
5889,Grant,NSW - 2170,NSW,2170,True,2012-11-05,05 November 2012,3.25,,,3.0,3.0,3.0,4.0,3kW,"$10,000 to $15,000",Suntech,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/p17b7ev1ol1lsomnk35r5m7das1.jpg']",0,0
