review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139980,Andrew,VIC - 3136,VIC,3136,True,2025-11-16,16 November 2025,5.0,,"Great company from start to finish. Installation went well, installation team were punctual, polite, left the site very clean and more than happy to explain the installation. Would have no hesitation in recommending these guys",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
121011,Eleanore,VIC - 3058,VIC,3058,True,2024-04-08,08 April 2024,4.75,,"Very professional, prompt service, great installation, fantastic over the phone customer service",4.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Winaico,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
114079,Marcel,VIC - 3153,VIC,3153,True,2023-09-03,03 September 2023,4.75,,The quoting process was initiated through SolarQuotes.com.au and was clear and detailed. Total Solar Solutions were professional in their approach and advice regarding the system configuration and the vendor equipment they were specifying. Upon discussing the original quote they recommended Zenaji batteries based on my preference for quality and longevity over price.The installation was physically completed on schedule including integration of works to upgrade my existing solar boosted gas hot water to an electric heat pump. Some teething issues were experienced with regard to inverter firmware compatibility between the solar and battery inverters which was resolved by them over the following few weeks after installation. The system has performed exceptionally well now almost 18 months after installation.Total Solar Solutions completed all the necessary paperwork to have my system connected to the grid and have been exceptionally helpful in supporting their product post installation answering all of my questions.,4.0,5.0,5.0,5.0,13kW,"More than $20,000",LG,Fronius (Selectronic Certified) Solar Inverters with Selectronic Battery Inverter (Other),Zenaji,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_zenaji.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f565b41c3d3ac1fa004145826f13d5f20.jpg']",0,0
109436,Phil,VIC - 3156,VIC,3156,True,2023-04-04,04 April 2023,4.5,,"Comprehensive quotation professionally presented and contained all the information you could need. A very busy company that uses good quality components. Other quotes were all cheaper but used cheaper equipment, and some employed high pressure sales techniques ringing every single day despite being told I was waiting for all the quotes to arrive.Installers arrived at agreed time and completed the install quickly. The roof tiles I was able to source in case of breakages were unfortunately a different colour but the boys swapped them all over with tiles that were under the panels (only 2 tiles broke) so I now have correct colour spare tiles should i need them in the future. I had absolutely nothing to clean up afterwards, they left everything spotless.The paperwork for Government rebates etc was handled with minimum fuss and completed smoothly.I have no hesitation in highly recommending Total Solar Solution!",4.0,4.0,5.0,5.0,6kW,"$6,000 to $8,000",Winaico,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
107782,Gordon,VIC - 3156,VIC,3156,True,2023-01-31,31 January 2023,5.0,,Great service.Ongoing service has been fantastic.Emphase with Winaico has been great.,5.0,5.0,5.0,5.0,4kW,"$4,000 to $6,000",Winaico,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
95321,Adrian,VIC - 3132,VIC,3132,True,2021-11-16,16 November 2021,5.0,,"What a fantastic company to deal with. The Total Solar Solution team were professional, prompt and provided exactly what I asked for. I could not recommend them more.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",LG,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
93487,Troy,VIC - 3806,VIC,3806,True,2021-09-17,17 September 2021,5.0,,Sales happy to answer any questions.They organise everything and was polite and punctual.Still early days but everything seems to be working great.Glad I asked for the Fronius smart meter as it a great way to see simple production & usage real time with a small time delay.,5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",LG,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
84694,Michele,VIC - 3145,VIC,3145,True,2020-12-13,13 December 2020,5.0,,"I would like to say a big thank you to the entire team at Total Solar Solutions for their excellent servicewith the installation of our solar system.My experience with Total Solar Solutions has been extremely professional compared to another solar company, I originally got a quote from.Due to this bad experience I was hesitant to trust anyone in the Solar Industry.Reece restored my faith, and I wish to give him a special thank you for his assistance and guidance on which system should be chosen.From the very start Reece was very helpful and happy to answer the many questions I had.It is with pleasure that I commend Reece and his team - for our Solar Solution.Again a special thanks to all who made it all happen so professionally, politely, smoothly & efficiently- Reece, Matt, Mitch, Scott & Jack! Also a big thank you to Christine & AllyA great experience with fantastic people doing what they do best that's ""Total Solar Solutions""I could not be happier!I would highly recommend Total Solar Solutions for all your Solar needs A+++",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",LG,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
80136,Dennis,VIC - 3121,VIC,3121,True,2020-08-07,07 August 2020,5.0,,"Just had Solar installed on my property by this company   I just wanted to pass on my thanks to Daniel and Reece and Christine you guys provide quality service and brilliant product   Daniel you were fantastic in assisting me with obtaining my permit with my council  and your knowledge of product is impeccable.  Reece the lads that turned up were fantastic respectful and finished of the job with great care and service, rate you guys extremely high.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",LG,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
75012,Robert,VIC - 3156,VIC,3156,True,2020-03-30,30 March 2020,5.0,,Sales process was helpful with no pressure.The installers Punctual polite and tidy.And the grid connection has been organised.,5.0,5.0,5.0,5.0,4kW,"$2,000 to $4,000",LG,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
74046,Christian,VIC - 3101,VIC,3101,True,2020-03-03,03 March 2020,5.0,,"Total Solar Solutions were outstanding from a to z.Reece and his team were polite and professional. Reece communicated via email initially and then cam around for a site inspection. He was the only installer (out of four) who actually had a look at the roof and other aspects of the installation. We felt confident that someone who is genuinely interested in this and is not just a salesperson would deliver a good end product.We were not disappointed! TSS's communication, installation and service were flawless. The entire installation was done in a day and the follow-up (inspection, registration etc) was hassle free so far.We would absolutely recommend Reece and his team to fiends and family.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",LG,Solaredge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
72950,Ian,VIC - 3156,VIC,3156,True,2020-01-31,31 January 2020,5.0,,All of Reece's staff were polite and extremely professional in their installation of my panels. Information from the office was always helpful and accurate. I am very pleased with the installation and would recommend Total Solar Solutions to anybody considering solar panels.,5.0,5.0,5.0,5.0,4kW,$approx. 5000,LG,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
72897,Gary,VIC - 3791,VIC,3791,True,2020-01-30,30 January 2020,5.0,,I am extremely happy with both the air conditioner  and solar i had installed. Reece and his team from the intstallers and office were prompt and professional. I  would have no hesitations  recommending Total Solar Solutions to family and friendsGary,5.0,5.0,5.0,5.0,1.5kW,,,,,,,,False,[],0,0
