review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
116260,Rod,SA - 5048,SA,5048,True,2023-11-05,05 November 2023,5.0,,"So far so good ! Kevin has been very good, right from the initial enquiry, we spoke for 40 minutes and me being an electrician I wanted to know everything ! He's been in the business longer than many and knows his business. The installers were fantastic, polite, quiet, got on with the job and installed my 10kW system in a day, it's very neat and tidy and they cleaned up very well on completion. It's early days but so far very happy. Definitely give Kevin a call if you're looking into a new system or upgrading.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Risen,Sungrow,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
106716,Thomas,SA - 5127,SA,5127,True,2022-12-23,23 December 2022,5.0,,"Kevin from Track Energy gave very detailed advice and took the time to answer all my questions. Initially he gave consultation over the phone and then further advice during a site visit. I believe he put a system together that best meets our requirements and strikes the right balance between costs, performance and quality.Kevin took also care of all the paperwork and the communication with the power provider.The crew that did the installation was polite and friendly. The installation itself is very tidy.I definitely would recommend Track Energy.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Risen,Solis,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
101323,David,SA - 5090,SA,5090,True,2022-07-13,13 July 2022,5.0,,Initial call requested a thorough understanding of my circumstances and wishes.  Seemed knowledgable and provided me with a more appropriate option that others didn't even bother to consider.  Installation was quick and efficient.  After installation follow up also very good.,5.0,5.0,5.0,5.0,4kW,"$2,000 to $4,000",JA Solar,Solis,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
98140,Howard,SA - 5076,SA,5076,True,2022-02-26,26 February 2022,4.25,,I found Kevin from Track Energy Easy to understand and easy to work with. Kevin was not pushy he explained everything so I could understand. Thank you,4.0,4.0,4.0,5.0,10kW,"$6,000 to $8,000",JA Solar,Solis 3p8k 3 Phase (Other),,4.0,4.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg'],0,0
77270,Craig,SA - 5244,SA,5244,True,2020-06-02,02 June 2020,5.0,,"Kevin at Track Energy was the only person who educated me about what I was 'getting in to'. He had lots of ideas about how to achieve what I wanted to do which be as ""off grid"" as possible in the suburbs and explained what the pros and cons were with each idea. We settled on a system that was not even hinted on by 6 other businesses. (Got the standard 6.3kW panels and 5 kW inverter  routine without ever asking what I wanted, they were all rushing to beat the battery rebate cut off date and sign up or you'll miss out type of pressure which puts many of us off I think)The installers were great, polite, tidy, informative and my wife felt comfortable with them by herself, B&B electrical. They turned up when they said they would and let us know what they were doing. Then hooked everything up to check it's running ok. Still waiting on the smart meter, the longest part of the whole process. But Kevin has provided great advice along the way, always available. Been a very positive experience, Kevin obviously loves this stuff and is right up to date with what's going on, his website shows that too. It's a solid investment that Kevin and B&B have made easy for us. Thanks so much, Craig and Melody",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Trina,Goodwe,Alpha-ESS,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
66863,Thomas,SA - 5155,SA,5155,True,2020-02-06,06 February 2020,4.75,,"Very happy with our Track Energy system.High quality components, installed with no fuss and very quickly. Good communication with Kevin who was happy to modify the design to our specifications.Would definitely recommend our system to anyone that's interested.",5.0,5.0,4.0,5.0,6.6kW,"$6,000 to $10,000",REC,Solaredge,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
62429,Greg,SA - 5074,SA,5074,True,2019-12-08,08 December 2019,3.0,,Panels and inverter installed but not yet operational.  Lack of follow up with live connection.,3.0,,3.0,3.0,5kW,"$3,000 to $6,000",Risen,Fronius,,3.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
70866,Benjamin,SA - 5025,SA,5025,True,2019-11-28,28 November 2019,5.0,,"Out of the 5 quotes that I got for Solar, Kevin from Track Energy spent the most time on the phone with me, he listened to what I wanted and worked within those parameters. Other companies tried to upsell me to larger systems or would not even talk to me about prices/brands until they had an on site consultation. They didn't require a deposit and offered a good time frame for installation.The installation itself looks flawless to me, no ugly hardware visible, very neat and tidy. The Huawei inverter is a very sleek and small design so it looks very neat a tidy on the wall, it also has good monitoring via an app on my phone.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Huawei,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png']",0,0
57404,Sam,SA - 5252,SA,5252,True,2019-11-12,12 November 2019,5.0,,"After doing lots of research, I knew what I wanted (6.6kW of panels, not very worried about brand, and 5kW Fronius inverter). Kev was very knowledgeable and provided lots of advice about on panel brands. Very happy with the system so far.",5.0,5.0,5.0,5.0,More than 6kW,"$3,000 to $6,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
69522,John,SA - 5244,SA,5244,True,2019-10-20,20 October 2019,4.5,,Kevin Parker was helpful and made suggestions relating to the best value for money system. always answered any questions in time via Email or phone. I can highly recommend him to any looking to install Solar.,4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fimer,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
69290,Anders,SA - 5351,SA,5351,True,2019-10-14,14 October 2019,5.0,,"Kevin was very good, gave good customer service. The people that did the install were very good and the quality of the system and install is very good as far as I can judge.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
67766,Tim,SA - 5098,SA,5098,True,2019-08-26,26 August 2019,5.0,,"Kevin was fantastic to deal with, he listened to what I wanted to achieve and presented a system that was better than I was originally expecting.  He provided me with a finance referral and I am now in a position where my loan payments are less than what I was paying fortnightly in electricity and I have a large enough system that I wont get power bills.  The system was installed quickly and the installers were prompt, professional and kept the area tidy.  I wouldn't hesitate in recommending Kevin and Track Energy.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",ET Solar,Goodwe,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
66259,Jenny,SA - 5115,SA,5115,True,2019-07-18,18 July 2019,5.0,,"Kevin from Track energy was extremely helpful and efficient. His quote was the cheapest on the system that I wanted. The installers were punctual, very friendly and polite and cleaned up before they left. Track Energy organised the grid connection on my behalf. Very impressed with the whole process. Would not hesitate to recommend Track Energy.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,False,[],0,0
