review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
126271,Glenda,NSW - 2700,NSW,2700,True,2024-09-24,24 September 2024,5.0,,Darren arrived and explained everything in great detail as well as made sure we understood everything. The system was installed within 2 weeks. Boys installing got everything done in one day and our system was up and running the same day. Can’t fault the company they were very professional and extremely helpful from start to finish.,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Jinko Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
123705,Keith,NSW - 2650,NSW,2650,True,2024-07-07,07 July 2024,5.0,,Darren clearly explained the benefits of an Enphase system of solar panels and micro-inverters. He and his support staff communicated well throughout the whole process. The installation went very smoothly. We are now enjoying the ability to monitor the system via the Enphase app. I look forward to gathering data to inform our choice of adding batteries to our system later this year.,5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Jinko Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
122039,Jennifer,NSW - 2650,NSW,2650,True,2024-05-10,10 May 2024,5.0,,Darren from Transparent Solutions was excellent with quoting and his after sales service. His install electrician was also excellent. Would definitely recommend.,5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",Jinko Solar,Enphase,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
121066,Jamie,NSW - 2650,NSW,2650,True,2024-04-10,10 April 2024,5.0,,Everything was fast and easy through the entire process. No complaints,5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",Jinko Solar,Enphase,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
120342,Graeme,NSW - 2590,NSW,2590,True,2024-03-18,18 March 2024,3.75,,"Advice given suited our situation, explained very well. Installation was done efficiently and on time. System working well.",3.0,4.0,4.0,4.0,8kW,"$10,000 to $12,500",Jinko Solar,Enphase,Enphase Energy,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_enphase-energy.png']",0,0
116511,Lindsay,NSW - 2656,NSW,2656,True,2023-11-13,13 November 2023,4.75,,Darren from Transparentsolarsolutions was polite and punctual. He listened to our requirements and offered us his advice based on experience. The recommendation was for a split system of 11 panels (4.84kw) with 11 micro inverters. Six panels are facing north and five west. The installer was Michael Rosler who also proved to be punctual and customer focused. The installation is of very high quality and the system performs better than I imagined from my research.Darren arranged everything for us. All we had to do was advise of our availability.,4.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",Jinko Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
115841,Ben,NSW - 2720,NSW,2720,True,2023-10-23,23 October 2023,5.0,,"Darren and the team were fantastic to deal with from start to finish.Rapid on quotes and willing to be flexible, incredibly prompt and installation was rapid and professional. They also followed up afterwards to ensure everything was satisfactory!",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Jinko Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
107262,John,NSW - 2650,NSW,2650,True,2023-01-12,12 January 2023,4.25,,Everything went smoothly. Installed within 2 weeks of quotationHappy with the whole process,4.0,4.0,5.0,4.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
102167,Mark,NSW - 2650,NSW,2650,True,2022-08-05,05 August 2022,5.0,,How was the sales/quoting process? Excellent!How did the installation go? Excellent!How was the customer service? Excellent!,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Jinko Solar,Enphase,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
100456,Kristian,NSW - 2594,NSW,2594,True,2022-06-08,08 June 2022,4.5,,Punctual installation. Energy retailer has not converted meter yet so too early to say more.,5.0,5.0,4.0,4.0,5kW,"$6,000 to $8,000",Jinko Solar,Enphase,No battery (Other),,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
