review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139468,Peter,QLD - 4670,QLD,4670,True,2025-11-05,05 November 2025,5.0,,Twyfords was great to deal with from the quote right through to the installation was all great.,5.0,5.0,5.0,5.0,13kW,"More than $20,000",JA Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
137923,Graham,QLD - 4670,QLD,4670,True,2025-09-30,30 September 2025,5.0,,"A very smooth process from quote to instiiation, guys arrived on time went through the process wthout any hassle no real disruption to our routine,Matt & his crew very respectful . A very tidy job & all working great as expected.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",JA Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
134367,Rob,QLD - 4677,QLD,4677,True,2025-06-15,15 June 2025,3.0,,I paid my deposit in late May and I am still waiting for someone to get back to me with a date for the installation. I find these guys quite unprofessional.,4.0,,0,2.0,10kW,"$8,000 to $10,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
118541,Ken,QLD - 4670,QLD,4670,True,2024-01-21,21 January 2024,5.0,,The entire process from the sales / quoting to the installation was handled very professionally. Shane has a fantastic knowledge of solar systems and offered some great advice. The installation team arrived on time and completed their works with a minimum of fuss. They cleaned up after themselves and gave expert operation instructions.Thank you Team TwyFord Electrical,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Goodwe,,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
105171,Ben,QLD - 4670,QLD,4670,True,2022-11-08,08 November 2022,4.25,,"Twyford organised everything weren’t pushy told me benefits and negatives of various systems panels, inverters battery etc promptly sent quotes and installed when they said they would installers were nice and explained system to me when all done. Good overall experience.",4.0,5.0,4.0,4.0,10kW,"$6,000 to $8,000",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
102882,Davina,QLD - 4670,QLD,4670,True,2022-08-23,23 August 2022,5.0,,"Overall sales was excellent Local company came out and looked at my place in QLD  We actually bought 2 systems  the other being in NSW house with solar quotes helpTwyford did a great job , tidy ,polite and explained how it worked",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",SolarEdge,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
102627,BRUCE,QLD - 4670,QLD,4670,True,2022-08-15,15 August 2022,4.5,,"QUOTE WAS DONE ON TIME, KNOWLEDGABLE SALES PERSONINSTALLATION DONE WITHIN STATED TIME FRAME, ALL DONE IN ONE DAY, VERY TIDYYES EVERY THING WAS DONE FOR ME",4.0,4.0,5.0,5.0,5kW,"$4,000 to $6,000",,Growatt,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
102621,Ian,QLD - 4670,QLD,4670,True,2022-08-15,15 August 2022,5.0,,"After expressing interest in getting a quote, the company was very prompt and professional in their approach to our needs. Instillation was very professional and carried out with no hassles. After instillation the follow up service was very good.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,SMA,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
95794,Gary,QLD - 4670,QLD,4670,True,2022-08-08,08 August 2022,4.5,,"Company representative, Shane, met me on site and produced a design that met my requirements. Installation crew were great and installation ran smoothly despite heavy rain interrupting the schedule. System is operating fine and Twyfords have arranged meter replacement with Ergon (energy retailer).",4.0,4.0,5.0,5.0,8kW,"$8,000 to $10,000",JA Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3ebbf2de2c4b5848aa5b74e441aa81b90.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3a7792479594812e357a7b9ae1e569b41.jpeg']",0,0
95875,Baz,QLD - 4670,QLD,4670,True,2022-08-05,05 August 2022,5.0,,"Spot on quoting, installation was done without a hitch and the customer service from Matt and Shane was nothing but top shelf",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
