review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
139129,J,QLD - 4000,QLD,4000,True,2025-10-29,29 October 2025,2.75,,"I was told that the installer would commence at 0700. They arrived at 0815.They were affable enough but very noisy - yelling at each other (in a harmless way) all day which made it hard for my partner and I to work.To fit the solar panel mounting rails they needed to trim a number of tiles, and they thought that it was ok to leave the offcuts in the roof space.I was told to expect a power disruption mid-morning The power went off at 1600.I was told I'd need to provide a pad for the battery to be installed on (which I did). but they mounted it on the wall, which was better but a waste of my time and money. That said, the battery isn't mounted straight and the panels aren't in the layout in the contract.They left packets of fixings up on the roof.I gave them shade to park and rest in, cold water, bathroom facilities, and beers at the end of the day.Within 24 hours it was clear the system was not working properly. I got a response after 48 hours agreeing and saying they'd look into it. Despite numerous emails and messages, seven days later the system is still not working as it should.Counting down the days (7) until I go to QBCC.",4.0,4.0,1.0,2.0,10kW,"$8,000 to $10,000",JA Solar,Solis,Dyness,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_dyness.png']",0,0
123273,Angus,QLD - 4069,QLD,4069,True,2024-06-22,22 June 2024,4.5,,Good pre-sales and installation process.  Not just from UV Power but also from Adapt Energy.Made me feel confident that I'd chosen the right system/configuration/installer...  Which so far has been validated.Was a steep learning curve for me.,5.0,5.0,4.0,4.0,10kW,"$12,500 to $15,000",JA Solar,Fronius,,,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
105448,Fiona,QLD - 4077,QLD,4077,True,2022-11-16,16 November 2022,5.0,,"Extremely good customer service, Ian was very knowledgeable, nothing was too much trouble, even gave me some suggestions how to change things in my house to optimise my savings.. Would definitely use again and recommend to anyone looking for solar panels.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Suntech,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
100347,Mel,QLD - 4306,QLD,4306,True,2022-06-03,03 June 2022,5.0,,"The quoting process was excellent.  Ian took into consideration our intention to install an EV charger and house battery in the not-too-distant future and provided a system design that accommodated those items, such as a hybrid inverter that is compatible with batteries from several manufacturers.  Answers to questions about the quote and information about other options were provided quickly and thoroughly.The installers showed up on time, worked efficently, and cleaned up everything afterward.   The installer described different placement options for the inverter and (future) battery, explaining the pros and cons of locating equipment in one location vs. another. He also answered a number of questions that I had about the installation of a (future) EV charger.  He helped me get the phone app connected to the inverter and checked that was working correctly and that the inverter was registered for warranty.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Risen,GE,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_ge.png']",0,0
82339,Karie,QLD - 4053,QLD,4053,True,2020-10-09,09 October 2020,5.0,,"Quoting process was simple and straightforward, not many details were required at all. Ian was able to answer the questions we had through email (our preferred correspondence) and provide us with the panels we wanted with no issues. Very competitive quote for LG panels and a 5kw Fronius inverter system.There was just a hiccup with the installation date (delayed by a week), but otherwise the process went without a hitch. The electricians who rocked up were polite, knowledgeable and worked out the panel layout for us on the spot. We wanted a East West system but didn't realise shading issues with the west side, so they managed to do a quick measure up and solve the issues with a 12-panel East + 6 panels on the North. Minimal issues with the concrete tiled roof that we have too, very satisfied with the install.The Energex network application was completed ahead of time, we already had a smart meter upgrade prior to the install which proved handy. Excellent job overall! Thanks UV Power!",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",LG,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
78950,Bev,QLD - 4306,QLD,4306,True,2020-07-11,11 July 2020,4.75,,"Ian came out the same day and sent us a quote that afternoon.  He was happy to answer additional questions and provide further quotes which helped us with making our final decision.  The installation was done professionally, efficiently and cleanly.  They organised everything for the grid connection.  All the companies who provided us quotes through solar quotes were great, but we went with this company because they were recommended by a friend.",5.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",REC,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
71089,Sophia,QLD - 4122,QLD,4122,True,2019-12-05,05 December 2019,5.0,,"We were recommended Ian and his company by a friend and contacted them as well as three other companies, for a quote on our solar needs.  Ian was very thorough in identifying our requirements and took the time to visit us to ensure they recommended the best system.  He was very competitive in his quote and once we agreed to go ahead, very efficient and seamless in the agreement process.  The installation time was about 1/3 of the closest competitor too.  The panels they installed were top quality and guaranteed for many years. We highly recommend UV Power and their team.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",REC,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/70d38b240ece28058b8aadde10f0da130.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/70d38b240ece28058b8aadde10f0da130.jpg']",0,0
71072,Johannes,QLD - 4074,QLD,4074,True,2019-12-04,04 December 2019,5.0,,"prompt reply to initial enquiry, quote right upon visit and installation within a week from acceptance of quote. very responsive and great price. highly recommended. Nothing to do for me other then paying them and shop for a good energy plan.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Risen,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
69915,David,QLD - 4655,QLD,4655,True,2019-11-02,02 November 2019,5.0,,Great company and great installers I recommend them great  company great people,5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Canadian Solar Inc,,,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png'],0,0
63719,Macky,QLD - 4053,QLD,4053,True,2019-05-06,06 May 2019,4.0,,"I requested a system with the Huawei 5KW inverter but I got very few responses, really had to chase quotes, it was very disappointing.",4.0,4.0,4.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
