review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
9187,Sean,QLD - 4128,QLD,4128,True,2012-09-12,12 September 2012,4.0,,,4.0,4.0,0,4.0,4kW,"$15,000 to $20,000",Suntech,Xantrex / Enerdrive Pty Ltd,,3.0,3.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
3831,Peter,QLD - 4207,QLD,4207,True,2012-09-04,04 September 2012,4.0,,,4.0,4.0,4.0,4.0,1.5kW,Under $3000,Suntech,Latronics,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_latronics.png']",0,0
15414,Tanya,QLD - 4503,QLD,4503,True,2012-08-22,22 August 2012,5.0,,,0,,0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
11123,Stephanie,QLD - 4301,QLD,4301,True,2012-01-10,10 January 2012,4.0,,,4.0,4.0,0,4.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
9710,Steve,QLD - 4074,QLD,4074,True,2011-08-05,05 August 2011,5.0,,I only got two extra panels.I got one out of supposedly three quotes through your site?Urbansolar cheap good quality & good service - sales persons talk on phone and also communicate by email (something the others can't do)?,5.0,5.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
9488,Allan,SA - 5158,SA,5158,True,2011-07-22,22 July 2011,3.75,,,5.0,4.0,4.0,2.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
5506,Jenny,SA - 5043,SA,5043,True,2011-03-08,08 March 2011,4.67,,"Glenn from Urban Solar was fantastic! He was persistant without being annoying and provided great down-to-earth and easy to understand information. Great experience!It might be worthwhile having something available for customers to have after installation to tell them what they have to do (i.e. organise an import/export meter, who to call etc)",4.0,,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
3662,Pat,QLD - 4680,QLD,4680,True,2010-11-11,11 November 2010,5.0,,"The only quote you gave me was Solar Tech, they told me they were not prepared to come from Rockhampton to my home to give me a quote because they told me it would not be worthwhile coming down for only one quote. Urban Energy came from the Gold Coast to give me a quote.",5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
3640,Bruce,QLD - 4300,QLD,4300,True,2010-11-10,10 November 2010,2.0,,I was told I would get a 3kw xantrex inverter before signing and it says on invoice 3kw inverter recieved paperwork from energex stating I will have a 2.8kw xantrex inverter installed (not happy) if you are going to supply a 2.8kw inverter say you are up front  don't lie about it how can you trust someone when they lie to you from the start.,3.0,,0,1.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
3056,Greg,QLD - 4078,QLD,4078,True,2010-10-11,11 October 2010,4.33,,Hard to understand all the technical details so people who speak in non-technical terms are wonderful!,4.0,5.0,0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
