review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
139082,Van,VIC - 3037,VIC,3037,True,2025-10-28,28 October 2025,4.25,,"Good price and quality  brand, with short waiting period  for the installation.",5.0,4.0,4.0,4.0,30kW,,I don't know,I don't know,Hiconics  (Other),5.0,5.0,False,[],0,0
82295,John,VIC - 3074,VIC,3074,True,2020-10-08,08 October 2020,2.0,,"I am very unhappy with VicSolar.  Before getting paid they promised ongoing support service.  They promoted themselves as the biggest Solar installer. But they were always difficult to contact and over time ceased to be contactable at all.  Another business on their phone number and the email looks good on facebook but the only thing is... it doesnt work.  They became contactable again when the government offered a new rebate, but after that, they are again uncontactable.  The equipment has been ok so I am not complaining about that. Luckily there has not been a problem needing attention as I know I would not get any.  The problem is with the non existent service of this company.",3.0,3.0,1.0,1.0,3.3kW,"$6,000 to $8,000",,,,,,False,[],0,0
63312,Joshua,VIC - 3820,VIC,3820,True,2019-04-27,27 April 2019,1.0,,"Sales person was fantastic, product is good, install team Fantastic. But after sales Customer service is hopeless/useless, they said They will take care of connecting us to the Grid, 6-8 weeks after the Inspector visited we where told by AGL, Vic Solar still did not send in the required Paper work for us to be on the grid to make it worse when I FINALLY was able to get through to the Admin team I was told they had misplaced the paper work all except for the initial contract. They are also hopeless with getting back to you when they say they will, they didn't even offer an apology for their Lack of Professionalism. Sad that a good product is being let down by a very bad Admin/Customer service team.",1.0,1.0,1.0,1.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
56667,Fiona,VIC - 3477,VIC,3477,True,2018-12-04,04 December 2018,1.75,,"$18,000 system$6,500 per year repayments$208 yr feed in generated3% of electricity usage reductionSystem will take 90 years to pay for itself at this rate.We were lead to believe the 21 panels were enough to cover our electricity usage avg 24kw/h, plus extra to reduce the growing power company debt from last few years.We were also led to believe we would not be affected by power outages, as the solar would power us. Since then, we have learnt that the battery would be needed for this and this $18,000 system does not include battery.",1.0,1.0,3.0,2.0,More than 6kW,"$15,000 to $20,000",,,,,,False,[],0,0
53341,Andrew,NSW - 2640,NSW,2640,True,2018-09-27,27 September 2018,1.0,,Do not buy off them. The owner won't answer calls. They were unlicensed in NSW to operate. Wont call us back.,1.0,1.0,1.0,1.0,More than 6kW,"$15,000 to $20,000",,,,,,False,[],0,0
34649,Anne,VIC - 3030,VIC,3030,True,2017-04-02,02 April 2017,3.0,,"Got a quote from a salesman at the door selling to Community Buy $12,765....did the talk and the push, must sign tonight.....I wanted to do some research so we said we'll think about it so he left....20 minutes later he called and claimed he got us a better deal as he spoke to his manager $7890.....I was reluctant (who gives you such a discount) but he worked on my husband and we signed and paid a deposit.......I wasn't happy so I started to get other quotes......all were cheaper and close to the same amount but I found a company that sold the exact same system as the one we were quoted on by the door salesman (even though he declared that his company was exclusive) for half the price, amazing.....We went with Vicsolar, the system is called Onesolar.....Have 12 panels instead of the 10 we were quoted on, sounds like a good 3kW. Inverter for $5150.......Insulation was on time, quick and clean but it took 2 months to get paperwork through to have it up and running...I chose to use my right of having 10 days cooling period, cancelled the original contract and it took a month to get back the refund of my deposit.......Now it's a matter to see how well the system will performHope this information will be helpful to someone else......Thank you for the opportunity",3.0,,4.0,2.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
34063,Chris,VIC - 3156,VIC,3156,True,2017-03-02,02 March 2017,2.5,,System had to be moved and changed 3 times. The whole process took over 1 year.,4.0,4.0,1.0,1.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
33695,Adam,VIC - 3216,VIC,3216,True,2017-02-09,09 February 2017,3.5,,"Initially I were happy to invest the money ($20,000) into solar but having now purchased and had it installed I am not seeing the benefits financially of solar. A rebate of 6c-7c per kW makes the investment a waste of time. I still receive electricity bills each month which are basically the same as prior to solar...plus the burden of the initial $20,000 investment.I were expecting my bills to be considerably lower (obviously) and the system to basically pay for itself which is not the case.A complete waste of time and money if you ask me...P.S If you have any tips at all to maximise my solar investment I would love to hear from you.",1.0,5.0,5.0,3.0,5kW,"more than $20,000",,,,,,False,[],0,0
33685,Paul,VIC - 3059,VIC,3059,True,2017-02-08,08 February 2017,2.25,,"They Promise the world, tell you the repayments will be covered by the savings. Buyer beware!!! Savings don't even come close. They are over you to get a sale and then rude when you follow them up.",1.0,3.0,4.0,1.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
33563,Marisa,VIC - 3076,VIC,3076,True,2017-01-31,31 January 2017,2.0,,"Don't recommend this supplier just like comment already made, sales rep promised the world and hasn't delivered. Now stuck with paying electricity bills and the panels!I regret not checkibg out the reviews before buying!Wish I'd got what was promised in writing.",2.0,2.0,3.0,1.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
