review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137871,Michae,NSW - 2644,NSW,2644,True,2025-09-29,29 September 2025,5.0,,We received a response quickly after contacting Solar Quotes and the rep came out to check the site a few days later. The quote came the next day and we accepted the quote and paid the deposit. Installation came a couple of weeks later. The boys were polite and were no bother during the work. The work wasn’t completed in one day so they had to come back the following week to finish the job. We already had PV Panels so were already connected to the grid. We weren’t shown how to use the app but still were very pleased with the finished job.,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",TW Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tw-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/22e993e7f0fe34c6af311b0e2aec90f60.jpeg']",0,0
128172,Graeme,VIC - 3730,VIC,3730,True,2025-09-17,17 September 2025,3.0,,All installed on time ran through the process explained clearly organised connection all good,3.0,3.0,3.0,3.0,8kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,3.0,3.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
136888,Richard,VIC - 3678,VIC,3678,True,2025-09-07,07 September 2025,5.0,,"David from Watters responded immediately to our initial enquiry, answered all questions and inspected the site before we signed anything. We never felt pressured. Riley and Jack soon after did a follow-up site visit before installation, and returned with Troy and Harley a fortnight later to put in the new batteries, inverter and gateway to go with our existing panels. Troy talked me thru the basics of the system on the day, and the fellas did a very neat, entirely professional job of it. Very pleased with the whole experience, all done within 25 days of asking for a quote. If only it could always be so straightforward to get work done!",5.0,5.0,5.0,5.0,,"$15,000 to $20,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
125636,Jason,VIC - 3735,VIC,3735,True,2024-09-03,03 September 2024,5.0,,Salesman made the difference in buying and dealing with them.,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",,,,,,,False,[],0,0
123315,Samantha,VIC - 3630,VIC,3630,True,2024-06-24,24 June 2024,5.0,,"From the first contact, Watters were fantastic to talk to and answer all my questions. The process was easy because Watters help us every step of the way. I would highly recommend them.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",,,,,,,False,[],0,0
122525,Garry,VIC - 3730,VIC,3730,True,2024-05-27,27 May 2024,4.75,,Quite provided promptly and was competitive with others.Happy to discuss all options and provide guidance.Installation has been excellent with professional tradesmen and follow up has been first class,5.0,4.0,5.0,5.0,13kW,"$15,000 to $20,000",TW Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tw-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
121702,Eileen,VIC - 3616,VIC,3616,True,2024-05-01,01 May 2024,5.0,,"Great work done by installer, Watters were very professional, very neat & tidy with their work & very professional",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",JA Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
112401,Michele,NSW - 2640,NSW,2640,True,2023-07-17,17 July 2023,5.0,,"I have accepted the quote from Watters. I did get quotes from Smart Energy (too expensive and tried to sell me a much more sophisticated system than I needed), also from Greenhouse solar and Electrical.  They were very good - excellent customer service, and very similar quote to Watters, but they were just edged out by Watters - a well respected, long standing local company.I expect the installation to begin very soon.  Everything was delayed by my having to get approval from the Body Corporate of the Retirement Village in live in.Too early to correctly rate the installation and quality fo the system.  It's not installed yet. But there were no other options so I've given everything tick!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
108612,Chris,VIC - 3631,VIC,3631,True,2023-03-04,04 March 2023,3.5,,"Sales was fast to respond and provided all the information I needed.Installation went OK but there were a few things that I led me to minus a star:- They asked me to give my WIFI password so they can setup the Fronius inverter. That's not something anyone should have to give that info out to a complete stranger.- Panels were covered all over in brown dust, and still are, from Day 1.- Inverter cover was also covered in brown dust, and still is.Customer service is absolutely the worst. They started organising an inspector 13 days after. It didn't stop them from sending the bill for the balance. I tried to find out when an inspector will come but didn't get a response. 7 days later for inspector to do his check, which took 10mins tops. That's 13 days of not being able to use the solar panels.I had to call my energy supplier and utilities company to get things moving. After a few phone calls to Watters, I managed to get them to submit the paperwork to the energy supplier, but they stuffed that up by sending the wrong inverter serial number. More phone calls and emails later and that got sorted eventually.It's now been a month and I'm still not connected to the grid. The utilities company says it will take 15 days to reprogram the smart meter.Would I recommend them to others? No.",5.0,5.0,3.0,1.0,13kW,"$12,500 to $15,000",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
105091,Bette,NSW - 2640,NSW,2640,True,2022-11-05,05 November 2022,4.5,,Troy at Watters was easy to deal with. They were very helpful explaining the differences in products and provided great service. Installation was done by the same local company and was installed within 2 weeks.,4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
100236,Derrick,VIC - 3730,VIC,3730,True,2022-05-30,30 May 2022,5.0,,"Watters installed our Solar and Battery system. Very impressive in every respect, the Watters staff are superb to deal with, friendly, honest, trust worthy, what they say will happen, happens on time every time and the installation was done to a very high standard. They have all the right industry accreditations for peace of mind selection as my provider of choice. Highly recommend Watters Electrical and Solar.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Canadian Solar Inc,Fronius,Tesla Powerwall 2,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
92495,Tony,NSW - 2640,NSW,2640,True,2021-08-19,19 August 2021,5.0,,Service from initial contact to completion of job was excellent with great communication.They completed the whole job as quoted and discussed.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
80115,Sonia,VIC - 3690,VIC,3690,True,2021-04-08,08 April 2021,4.75,,"Great price. Efficient, quick installation, very polite and professional installers. Local companywith lots of experiece and qualified electricians. Very happy with whole process, all stages progressed quickly, easily and professionally.",5.0,4.0,5.0,5.0,6kW,"$2,000 to $4,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
