review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138599,Oakley,QLD - 4184,QLD,4184,True,2025-10-16,16 October 2025,4.75,,"We got a great quote almost immediately after going through my existing solar system.Quote came in about half the cost of a whole-house option from a competitor. This is a lesser system...but $10k less cost.I was expecting install to be months later, but they came the following week.Great team who obviously knew their stuff and got my two batteries and the new inverter set up and running in good order.A couple of teething problems with configuration and the app on my phone, but they are always approachable and proactively follow-up to check all ok...even after I'd paid the bill. :)",5.0,4.0,5.0,5.0,,"$10,000 to $12,500",,,Alpha-ESS,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
136061,Katie,QLD - 4306,QLD,4306,True,2025-08-13,13 August 2025,5.0,,Very informative quoting process. Smiley was happy to give all the information I needed and answer the many questions I had. I'm glad we went with the system recommended to us.Installation team were very polite. They ensured that everything was working right and put in extra time to fix the bugs. Can't fault them on their work quality.,5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",,Noark,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_noark.png'],0,0
135828,Ian,QLD - 4184,QLD,4184,True,2025-08-04,04 August 2025,5.0,,"I can not speak highly enough of Smiley and his team at Watts Up Electrical.  I am sure that I could have found a cheaper price but I feel very sure that any extra I paid has provided a long term partner that will assist with any solar issues.  These guys are very well established and I found them really easy to deal with.  My system is doing an incredible job, based on my first months results I expect to never pay a bill again and in fact I am earning every day from Solar Feed In.  I also moved over to Amber and feel that this is a perfect match for my needs.I recommend Smiley and his team at Watts Up Electrical on Macleay Island.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,Deye,Pylontech,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_deye.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_pylon-technologies.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/21230b4baa745a44c270c2fe27030ef00.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/21230b4baa745a44c270c2fe27030ef00.jpg']",0,0
135191,Daniel,QLD - 4184,QLD,4184,True,2025-07-10,10 July 2025,5.0,,"Very professional, fast and efficient, dismantled quickly the old panels and installed the new ones carefully going around vents and antennas",5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",,,,,,,False,[],0,0
132670,Vincent,QLD - 4184,QLD,4184,True,2025-04-17,17 April 2025,5.0,,Very happy I had this company install a13.3 kWh battery with 13.3 kw solar panels didn’t loose power during cyclone Alfred neighbour lost power for over 5 days just got a other battery connected yesterday now have 26.6 kwh of storage and glad I didn’t go with a cheap solar company with no customer interest this company was glad to help out with any problems I had thank you . AAA +,5.0,5.0,5.0,5.0,13kW,"More than $20,000",,Alpha Technologies,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png'],0,0
130063,Chris,QLD - 4341,QLD,4341,True,2025-01-22,22 January 2025,5.0,,Wattsup did an amazing job.When I was looking at quotes for solar I had no idea what to get and what to do.They made the process easy and simple. And Asad the man that installed it on site did a fantastic job working in 36 degree heat to get it done with his team.,5.0,5.0,5.0,5.0,20kW,"$15,000 to $20,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
128455,Annette,QLD - 4207,QLD,4207,True,2024-11-28,28 November 2024,5.0,,Great service and install no problems with communication from company,5.0,5.0,5.0,5.0,3kW,"$12,500 to $15,000",,,,,,,False,[],0,0
127741,Sherida,QLD - 4405,QLD,4405,True,2024-11-08,08 November 2024,5.0,,Great  job and fantastic job right on time  great solar system and panels  very happy  thank you,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",JA Solar,Goodwe,I don't know,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
127683,Michael,QLD - 4580,QLD,4580,True,2024-11-06,06 November 2024,4.5,,"We were recommended to the company by my Daughter and Son in Law. From the outset set, all of our questions and concerns were answered straight away and we had the impression that we were dealing with the right people.Installation was prompt, the installer  very respectful and efficient. NO FUSS NO MESSMore than happy to recommend these guys for anything Solar",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,SAJ,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_guangzhou-sanjing-electric.png'],0,0
125922,Graeme,QLD - 4184,QLD,4184,True,2024-09-12,12 September 2024,5.0,,"Hi, we found Watts Up Solar and Electrical to be very knowledgeable when it came to advising us on our system requirements. As we live on an island they explained to us why we needed a specific panel type.Installation was arranged quickly once we decided to proceed and our system was installed within 3 days.Staff were polite and responded to any of our questions promptly and efficiently. Would have no problem recommending their services to others",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",JA Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
