review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140438,Kham,VIC - 3037,VIC,3037,True,2025-11-25,25 November 2025,5.0,,"I recently had Western Elec install a solar system with battery storage at my property, and I couldn’t be happier with the experience. From start to finish, Michael and Tom's professionalism and attention to detail were outstanding.The installation was completed efficiently and on schedule, with minimal disruption. They were courteous, tidy, and clearly skilled at what they do.I was kept informed throughout the process, and any questions I had were answered promptly. I highly recommend them to anyone considering solar and battery solutions – reliable, knowledgeable, and genuinely customer-focused.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136317,Robert,VIC - 3038,VIC,3038,True,2025-08-21,21 August 2025,5.0,,"Western Elec installed 24 Panels and battery system on my new home.  Michael and Tom were very professional and were also technically astute.The installation was smooth and very neat, with an explanation of what and how was being done.I have no hesitation in recommending both Michael & Tom of Western Elec to anyone needing a system.",5.0,5.0,5.0,5.0,10kW,,Risen,I don't know,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
135876,Jeff,VIC - 3029,VIC,3029,True,2025-08-06,06 August 2025,5.0,,"Recently, I had a complete solar package installed by Western Elec in Werribee — a 7.92kW solar panel system with a Sungrow Inverter and Sungrow Battery. From my very first contact with Western Elec through to signing the contract, claiming rebates, and the installation itself, the entire process was an absolute pleasure.I can't speak highly enough about the team at Western Elec. They were incredibly professional, always willing to explain things clearly — even when I called multiple times with lots of questions. Th eir patience and politeness stood out, and it made the whole experience stress-free.When installation day came, the crew was efficient and respectful. Once they finished, you wouldn't have even known they’d been there — they left the site spotless, taking every bit of rubbish with them.I also want to give a shout-out to Solar Quotes, who helped guide me through the process. Their YouTube channel and trusted installer list led me to Western Elec, and I'm so glad it did. If you're looking for a solar system, I strongly recommend checking them out — and definitely give Western Elec a call.Thanks again to the whole team — I’m very happy with my new solar setup!",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
126541,Neil,VIC - 3764,VIC,3764,True,2025-07-30,30 July 2025,4.25,,"Good price, changed to a higher grade inverter which they offered at minimal upgrade cost, good communication, on time installation, clean well fitted finish, & no complaints.Good communication.This is my second system, already have a still going 5kw system.",4.0,4.0,5.0,4.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
135569,Nelson,VIC - 3064,VIC,3064,True,2025-07-24,24 July 2025,5.0,,"Fantastic experience with Western Elec all through the entire process - from the initial call by Michael to follow up after receiving my details from SolarQuotes to the multiple questions I raised, with him patiently answering them, to the quote to another set of multiple questions on the gears used and system design setup being offered, to delivery and installation, the whole experience was fantastic. Can't fault anything, even if I want to nitpick, I can't find anything to nitpick on. That's how good the experience was.The quality of their installation was solid. Will use them again in a heartbeat. I highly highly recommend them if you are reading this and wondering who to use. Go ahead and use them you will be glad you did! Respectful bunch, and polite. Tidied up the premise after they were done, no debris was left behind.And also, punctual! When Michael said they will rock at my property at 7am for the installation, and to my pleasant surprise he turned up exactly at 7am.And thank you to Solar Quotes for referring them to me. Couldn't have asked for a better partner for my battery and solar installation",5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",Jinko Solar,Alpha Technologies,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/57ce869d91a6986938deb4a3a55420a00.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f9e63e8a473bb342200d62e7974e01511.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/304d295e4fb24088a1ea89c073e3536b2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/186c0d3514fe9aa3fc5ccdd7a45b50353.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b3944423399df216518d01508be909764.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3bc9b2df2b0a1bcfbb4f03e33ec6726f5.jpg']",0,0
135568,Tanya,VIC - 3030,VIC,3030,True,2025-07-24,24 July 2025,5.0,,"I found the guys to be a pleasure to deal with from the start, the price was very competitive and the service fantastic!They dealt with all the rebates, supplying more than one quote and made sure we had options that suited our needs.They arrived when they said they would, did what they had to do and cleaned up after themselves.Our initial solar system was fitted and supplied them and we returned as customers to get our batteries installed.Would recommend them!",5.0,5.0,5.0,5.0,,"$4,000 to $6,000",,,Alpha-ESS,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
134895,Matthew,VIC - 3815,VIC,3815,True,2025-07-02,02 July 2025,5.0,,"Great communication from green throughout the process from quote to installation, staff always reply to emails or answer questions over the phone. The installers were great and very helpful. Highly recommended company.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Risen,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
134373,Natalie,VIC - 3030,VIC,3030,True,2025-06-16,16 June 2025,4.0,,"Nice guys, efficient and helpful.Happy with how the installation went.",4.0,4.0,4.0,4.0,10kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
134169,Josh,VIC - 3350,VIC,3350,True,2025-06-07,07 June 2025,5.0,,"After getting overquoted and hassled by other solar companies with pushy sales tactics, it was such a relief to deal with a team that was upfront and easy to work with. They gave me a fair, competitive price from the start — no gimmicks — and actually showed up when they said they would. The system they installed is great quality, looks really neat, and everything was done properly. They were always available to answer questions and offer advice, but never pushy. Just genuinely honest and helpful the whole way through. Really happy with the whole experience.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
132520,Susan,VIC - 3028,VIC,3028,True,2025-04-13,13 April 2025,5.0,,"Michael and Tom recently installed a system on my two storey unit. From the initial and prompt contact to the end of the job they were highly professional. Great work ethic, clear and timely communication, positive interactions on site during the quote process and on the install day, competitive quote. The clean up after the job was outstanding. They assisted with every step of the process including solar rebate and grid connection. Exceptional work. I highly recommend their services.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b25ee344fb48f6aa73f2152b05e46d220.jpeg']",0,0
132488,Andrew,VIC - 3030,VIC,3030,True,2025-04-11,11 April 2025,5.0,,"Pleasantly surprised and pleased with the professionalism from Michael and Tom. Quoting process was straight forward and Michael was really accommodating with a range of various configurations and options.The communication process before and during the installation was great. On the day when power off was required, worked around the family needs which was greatly appreciated.The quote process was very simple and no surprises at the end.Quality of their workmanship was great, l have seen a number of installs, and these guys are first class. Everything is concealed as far as possible. My meter box was a bit of mess following additions over many years, they took the time to re-orient and clean the lay-out right up.As part of the install, l also wanted battery back-up to future proof from any electrical outage on the networkAbsolutely no mess when they finished. Inspection, connection process, etc.. all taken care of.You definitely want to give Western Elec the opportunity on your next job.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
