review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
111705,A,QLD - 4101,QLD,4101,True,2023-06-21,21 June 2023,2.0,,"Unfortunately, a directory for businesses suffering financial cash flow issues does not exist and the consumer does not know until the company has left with their deposits, paid, often in good faith and not worth the contractual invoice it was written on.Xpert Energy closed it doors due to too many increases in product and not enough reliable supply of needed product leading to cash flow issues, or so we heard.It is mean of Xpert Energy not to leave a contact email or number to converse with these customers concerns.To shut shop and close phone & email contact by Xpert Energy is added indignity to a genuine customers who also have had this money deficit added to their household burden.We may never get a cent back because it will cost us more time & emotion (especially at this moment in June 2023, when our 6 year old just died of cancer), with a huge possibility of no money back because of the lack of confirmation that Xpert energy have shut its doors for good, or are they just hiding?",1.0,5.0,1.0,1.0,15kW,"More than $20,000",SunPower,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
108040,Charles,QLD - 4051,QLD,4051,True,2023-02-09,09 February 2023,1.0,,"I paid a large deposit for a solar system, and now the business seems to have evaporated into thin air.Does anyone know what has happened to this business?",1.0,1.0,1.0,1.0,13kW,"More than $20,000",,,,,,,False,[],0,0
103651,Samuel,QLD - 4122,QLD,4122,True,2022-09-15,15 September 2022,5.0,,"Credit to Craig and his team for their excellent work! I have a thousand questions on solar system but Craig also has a thousand answers to my questions.  No jargon is used.  Pre-installation, during the installation and post installation works all went well.  Get in quick because i don't want you to be on the waiting list before the team is getting more busier.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,Sungrow,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
103648,Nathan,QLD - 4121,QLD,4121,True,2022-09-15,15 September 2022,5.0,,Craig took the time to come to my house and meet face to face and talked me through all of the factors for consideration. The quote was better than others I had received with almost like for like equipment. The installation day did not all go to plan for the team despite their efforts working back late and returning the following days to complete the job. Could not recommend more highly.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
103475,Connor,QLD - 4343,QLD,4343,True,2022-09-10,10 September 2022,5.0,,"Everyone was incredibly helpful and clear as to everything that was happening. They were particularly good at communicating with me things such as times for installations, expenses, quotes ect.The place was left perfectly clean after installation, you wouldn't even have known someone had been there!",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Trina,Sungrow,,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
102753,En Chuan,QLD - 4121,QLD,4121,True,2022-08-18,18 August 2022,5.0,,"the whole process was very smooth, well informed, very professional, over all experience is very satisfactory, I would recommend for anyone.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Trina,Sungrow,I don't know,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
102523,Michelle,QLD - 4073,QLD,4073,True,2022-08-13,13 August 2022,5.0,,Craig and his team (Xpert Energy) were great to work with. They were prompt with their meetings. We were happy with the professional advice given and they answered all our questions and queries. We are so happy with the end result of our solar system. We have no hesitation in recommending Craig and his team. Their personal approach was greatly appreciated.,5.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",Hyundai Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2c1d1221b0187a2baf67e36e61b7f68e0.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2c1d1221b0187a2baf67e36e61b7f68e0.jpeg']",0,0
102417,Paul,QLD - 4306,QLD,4306,True,2022-08-11,11 August 2022,5.0,,"We have recently had our upgraded system installed. The whole process was flawless. The initial consultation was very informative, the whole quoting process was excellent. The installers were professional and friendly. The old panels were removed and taken away too. The installers went above and beyond on the day of installation. I would highly recommend Craig and his team.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
102190,Sally,QLD - 4179,QLD,4179,True,2022-08-05,05 August 2022,5.0,,"Craig spent time explaining the process and the various solar system options to us, he was always available for our follow up questions of which there was many.Efficient and competitive price, smooth installation, and follow up to get the grid connection done.We are delighted to have made the decision to install solar and are enjoying watching our investment into solar in real-time on the app.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Phono,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
101934,Alan,QLD - 4051,QLD,4051,True,2022-07-31,31 July 2022,5.0,,"A lot of solar people remind me people trying to sell used-cars. I spend ages on this website trying to track down someone who would actually come to my house to give me a quote, rather than looking on Google Maps.But then I met Craig and his team at Xpert Energy. Craig came out, understood my goals and went the extra mile to make sure everything was perfect.They didn't give me the cheapest quote, but I unlike the other systems I was quoted, I am confident this one will go the distance.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
