review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
105464,Natasha,NT - 836,NT,836,False,2022-11-17,17 November 2022,1.0,,"Super slick sales person, they drilled holes in my roof they didn't need and left bits to rust, worst value for money, they installed a management system outside that was only for inside use, Y-Solar packed up and no longer operate in Darwin, apparently they were also Diamond Cell Solar Nt, absolutely worst customer service. As soon as something went wrong they disappeared like a fart in the wind. - we have since replaced the system with Enphase.",1.0,1.0,1.0,1.0,6.6kW,"$15,000 to $20,000",I don't know,Solarbridge,,1.0,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solarbridge.png'],0,0
36714,Clive,NT - 836,NT,836,False,2017-07-13,13 July 2017,2.0,,"I purchased a 6kW system which cost $24k in 2015  and it's not performing like I was told it would, I too had a lot of problems with Ysolar ie not returning our calls, not following up their intents, for all you purchasers in the Northern Territory the 1300 569 245 does not work in the NT. You can reach Ysolar on their office number which is (08) 6140 7200. Anyone interested in getting together and as a group we can hopefully get something done and getting some answers.",2.0,2.0,3.0,1.0,6kW,"more than $20,000",,,,,,False,[],0,0
35940,Desmond,WA - 6112,WA,6112,True,2017-06-01,01 June 2017,1.5,,Y solar is the worst company to deal with. I'm having issues with my micro inverters and they just keep making excuses as to when they are going to replace them. I have decided to take it up with the building commission. In the meantime I'm paying extra on electricity bills cause it's not generating its full power & on top I'm still paying the system off. I'm disgusted with their service. Advice is do not use this company,1.0,1.0,3.0,1.0,1.5kW,"$6,000 to $10,000",,,,,,False,[],0,0
35464,Pawe,NT - 812,NT,812,False,2017-05-09,09 May 2017,1.75,,"Like many of the other reviews, upon the installation process they were very productive and quick to install the panels. But post installation we noticed only 6/18 of our panels were working or none at all. It was very hard, nearly impossible to contact Ysolar, and emails from them were just as unhelpful with basic troubleshooting which does not work and when it doesn't work they stopped replying. After feeling defeated I pushed one last time to try get help from my product company which was Solarbridge (but is now sunpower australia) which was VERY helpful. They help fixed all my panels, replaced and sent technicians over at the expense of the product warranty (mind you, not Ysolar warranty). My panels are all working and my bills have been reduced thanks to the help of my product company. I would suggest anyone having these problems to contact their product company for help, rather than Ysolar. I have also noticed after becoming a bit more knowledgeable about solar panels from my local technician, is that Ysolar did not provide me with a some of the important documentation such as the certificate of occupancy and warranty cover, which should all be provided upon contracting with them. I emailed them requesting the documents and if they did not provide me with one I would report them to consumer affairs. After threatening them they replied to me promptly. But I noticed each time I've emailed Ysolar, I email different people/ staff in Ysolar, but the same representative seems to respond, his name was Justin, which I found odd.Anyway I am having another issue as of today with one of my panels failing to produce power, so I have contacted my product company and issued a replacement micro inverter under yet again their expense, but they are not responsible for installing the inverters and fees of installation. They told me to contact my installation company (Ysolar) for assistance in sending a technician over to do the job, or find another company qualified to do it at my own expense. Hence, I have emailed YSolar, and if the are unable to respond or incapable to provide help with this issue (like they should), I have decided to terminate any further payment to Ysolar, and hopefully contract with a LOCAL solar company.For anyone needing help or was experiencing the same problem as I was:- contact your solar panel product company (should be written somewhere on your power manager box); just search for the number online.- I also would also recommend you issue a solar panel inspection, to see whether installation was done correctly. I'm not sure how to issue this as my local technician helped me immensely and did it for us.",2.0,3.0,1.0,1.0,4kW,"more than $20,000",,,,,,False,[],0,0
34859,Lara,WA - 6110,WA,6110,True,2017-04-11,11 April 2017,3.25,,"Do NOT go with Ysolar. Having the solar panels has made no difference to our power bills. They recommended 1.5kW system and did not exercise due skill in assessing our energy needs. They kept pushing us to commit and we felt coerced to buy. While installation was fast and the tradesmen friendly, it has been a nightmare ever since trying to resolve why we are still paying the same amount for our power bills that we always paid, and any time we ring Ysolar they tell us to do meter readings and to shift our energy usage to when the sun is shining. Which we have done. Still nothing. After almost 18mths and lots of phone tennis between Ysolar and Synergy, we are fed up. We are going to the ombudsman.",2.0,4.0,4.0,3.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
34771,Adam and Sonja,WA - 6122,WA,6122,True,2017-04-07,07 April 2017,4.0,,"No one informed me of the installation day, they arrived mid morning, I was actually heading out for the day so they were lucky they came when they did otherwise I wouldn't have been home.The Design Consultant was VERY detailed with his presentation on the design of the panels, the solar panels themselves & the installation process etc it was a little too indepth for our liking. He did inform us that it would take an hour but it was going on 2 hours when we finished up. After the presentation he immediately got out his order book which I didn't like and he put us on the spot. My partner agreed to it but I wanted to keep shopping around.Quality of system; we are unsure as yet as we haven't received our bill since having them installed m.",3.0,,5.0,4.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
33468,Geoffrey,WA - 6180,WA,6180,True,2017-01-27,27 January 2017,5.0,,"Fin I went Enphase micro s270inverters with Canadian solar p320 max power panels by far not the cheapest but just could not go past the quality and the micro inverters made by a very good company did my research on Enphase.Liked  there warrantys and technology.I feel worth the extra money, quality always cost more but you get a better result I think any way.I have read what you have said about micro inverter technology so that got my interest.Regards Geoffrey.",5.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
32621,B,NT - 830,NT,830,False,2016-12-05,05 December 2016,1.5,,"Their sales pitch about the 'loan' did not highlight all the hidden costs for admin fees and extra amounts payable - make sure you read the fine print. We paid cash because of this.Our panels were all supposed to be North facing, but only half of them were. They did come fix it though.One panel has been out a few times...But the worst thing about this company is you can't contact them as they never answer the phone. We find it hard to get something fixed when they won't answer their phone!! Would never have chosen them in hindsight.",2.0,2.0,1.0,1.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
31214,Amanda,NT - 845,NT,845,False,2016-08-02,02 August 2016,2.5,,"After 1 year I am generating 119kWh for the 1/4 which is the sunniest time , the previous 1/4 cloudy 1,407 kWh no answer from Diamond Cell or YSolar I'm at a loss what to do , feel ripped off , furious . Can we do anything ? Anyone ?????",1.0,4.0,4.0,1.0,4kW,"more than $20,000",,,,,,False,[],0,0
29730,Judith,WA - 6239,WA,6239,True,2016-03-11,11 March 2016,4.25,,"What was interesting about the process was that each salesperson helped to fill in gaps in our understanding of solar power and how it works and the benefits and deficits of different systems. This enabled us to make a decision we are happy with because we could make clear distinctions between the different products based on quality of product, technical information and service. All the people we spoke to knew their products very well. And it was hard to disappoint the unsuccessful salespeople because we had enjoyed our conversations with them all!!",4.0,4.0,5.0,4.0,1.5kW,"$6,000 to $10,000",,,,,,False,[],0,0
