review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
124456,James,SA - 5554,SA,5554,True,2024-07-30,30 July 2024,4.75,,"Thanks Yorke Solar, stress free, easy to deal with and quality job.",4.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
121350,Paul,SA - 5510,SA,5510,True,2024-04-19,19 April 2024,4.5,,"Sales and quoting services went well and included a personal visit to our property. For a property in a rural location, this was an advantage in going with a mid North-based provider.Installation went well. Yorke Solar committed to the installation date a few weeks ahead and turned up on time and did a good job and tidied up after them. They took time to explain everything to us and assisted us in getting the relevant app working. Their phone services were also excellent with their staff getting back to us very promptly each time we have a query.One hitch for us was that our place does not have wifi or broadband so Yorke Solar explained the option of a mobile modem to overcome this new SA government requirement.",4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
115081,John,SA - 5582,SA,5582,True,2023-10-01,01 October 2023,5.0,,The customer service was excellent. The quality of the system is top class. 4 guys installed my 10kw system in 1/2 day.Its already saving me money.,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Trina,SMA,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
114999,Mark,SA - 5558,SA,5558,True,2023-09-28,28 September 2023,4.0,,Great customer service and communication throughout the installation process. All our questions were answered quickly by an informed team.,4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
101399,Jane,SA - 5571,SA,5571,True,2023-05-12,12 May 2023,5.0,,Yorke solar were very quick to send a very detailed quote and also rang to discuss other options. The price was the lowest and the panels and inverter were also on the list recommended. The warranties were also goodThe installers were here on the day and were friendly and very efficient. The materials used were also great quality.Everything was organised with power network and installation of smart meter and it was all turned on only a month after ordering. Very happy with everything so far and enjoy the AGL ap which shows everything. I would certainly recommend this company.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
107028,Jonathan,SA - 5555,SA,5555,True,2023-01-04,04 January 2023,4.5,,Quoting was good but basic. Upgraded system with your information on web site.Installation was all of above.Organised all paperwork and provided all certificates associated with grid connection.,4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
93149,Rod,SA - 5573,SA,5573,True,2022-05-11,11 May 2022,5.0,,All good they organised everything.Price was good service great,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",I don't know,Sungrow,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
96990,John,SA - 5573,SA,5573,True,2022-01-15,15 January 2022,4.5,,"Very easy & extremely help full. Im not very good with computers and Letitia helped me through the whole process. The install done very fast with the team swapping their days off to get it done before Christmas.                                      Customer service went out of their way to help us as we had to wait on settlement on the house. Yes they organised everything I can not speak highly enough of the company, especially Letitia who handled everything.",4.0,4.0,5.0,5.0,8kW,"$6,000 to $8,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
88860,Roger,SA - 5222,SA,5222,True,2022-01-06,06 January 2022,5.0,,Their service was prompt and straight forward.We imagined that having a system installed on Kangaroo Island might create some problems but the installation happened within a week or so and was very neat and tidy with no rubbish left behind.Grid connection happened simultaneously.Follow up was thorough and we had the smart controller installed a couple of weeks later.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Seraphim,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
96455,Paul,SA - 5573,SA,5573,True,2021-12-22,22 December 2021,4.75,,"Called on Monday, Installed on Thursday!Answered all questions and Clean, Tidy Installation.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Fronius,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
