review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
125078,Josh,QLD - 4825,QLD,4825,True,2024-08-16,16 August 2024,2.0,,"Original quote started at 23k. After realising how inflated the quote was, I got them down to 15k. The only reason I went ahead was because I was told it would cost 3k to break contract.Installation went ok, installer did break my roof mounted antenna however I wasn’t too worried as we don’t watch free to air tv anywayFast forward to December 2023 and one of my inverters stopped working, I didn’t realise until getting a large power bill in March 2024 (disappointing because I was told they monitored systems and would know of any failures). Initial customer service was very good, we went through troubleshooting only to determine an electrician would be required. I was told to organise an electrician at my cost and have a report written up for them, which I did. An independent electrician told me I was lucky I hadn’t had a fire as the feed in cable to the inverter was installed too tightly (cable stretched) causing a poor connection resulting in ongoing ‘arcing out’ at the connection point. This caused the fitting and end of cable to melt over time before inverter eventually stopped working. Over the last few months I have sent numerous emails and called numerous times to no avail. All I have been told is their head electrician is reviewing the report and photos from my independent electrician. This shouldn’t take months, I feel like they’re just waiting it out for me to just sort myself",3.0,3.0,1.0,1.0,15kW,"$12,500 to $15,000",Seraphim,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/74522bd8614bffacadcd42f8e69bef7c1.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4a1ca88b4ffb41611f67c30d5364076a2.jpeg']",0,0
114446,Mark,QLD - 4740,QLD,4740,True,2024-07-25,25 July 2024,3.75,,"-the sales/quoting was a bit on the expensive side, but the deal they made was for all hooked up to regulations, working, no hidden costs. I have an old house, so I didn't a price blow out if they had problems.-the installation went well, very polite, very tidy, however took a bit longer to complete as they were overextended with work and had to source special parts to complete the job. On the other hand, very professional job done.-didn't have to lift a finger everything was sorted by them.did not do all the ratings above, the jury is still out whether it is value for money or a quality system as it has to pass the test of time yet, so far so good",3.0,3.0,5.0,4.0,5kW,"$0 to $2,000",I don't know,I don't know,,3.0,5.0,,False,[],0,0
103445,Christina,NSW - 2450,NSW,2450,True,2022-09-08,08 September 2022,4.75,,found the service good well informed. The installation went smoothly. Has helped reduce my electricity bills which is good. So I'm happy to have installed solar.,4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,,,,,,False,[],0,0
103395,Gen,QLD - 4655,QLD,4655,True,2022-09-07,07 September 2022,5.0,,"From start to finish Your Choice Solar made my experience so easy. The team hands down has to be one of the kindness and most helpful team I have ever worked with, I never felt like I couldn’t ask a questions or pressured into a situation I didn’t want to be in. I was reassured with their knowledge and experience, they honestly made me feel like I was apart of their family! I recommend Your Choice Solar to anyone who feels unsure by door knockers or weird phone callers who just want your money. Your Choice Solar spoke my language and just knew what I wanted out of my Solar and made sure I got it!",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",,,,,,,False,[],0,0
103376,Lesley,QLD - 4216,QLD,4216,True,2022-09-07,07 September 2022,5.0,,"Solar quote was. Quick and easy, great explanationInstallation went perfectlyCustomer service were great. Had everything organised for us.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",I don't know,I don't know,I don't know,5.0,5.0,5.0,False,[],0,0
86617,Brian,NSW - 2340,NSW,2340,True,2021-09-26,26 September 2021,5.0,,Sales process was convenient and informative. Salesperson explained thoroughly different options and pricings.installation was conducted by very professional and experienced sparkies who knew their job. They also double checked as to fitting instructions and if any changes were required before starting. Extremely happy with finished resultCustomer service with Ellie is excellent. From her follow up a couple of days after signing to answering queries and requests before fitting was always no problem.All contact and organising with energy supplier has been carried out by Your Choice.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Seraphim,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
89406,Joanne,NSW - 2340,NSW,2340,True,2021-05-04,04 May 2021,4.0,,"Just want to say from the the time we got our quote which was very well explained by Simon to the work grew who installed the system was very professional all our questions answered without any hassle,To the wonderful customer service from Ellie this lovely lady went above and beyond I must have rang her a million times and nothing was any trouble at all thank you so very much for everything you did from a very happy customer.",3.0,3.0,5.0,5.0,5kW,"$10,000 to $12,500",SunPower,Ablerex Electronics,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_ablerex-electronics.png']",0,0
81571,Karen,NSW - 2830,NSW,2830,True,2020-09-16,16 September 2020,5.0,,Your Choice Solar rep was very clear in explanation of how the system and instal would go and it was all done with no hassles.  We have 2 Delta inverters and the app is not that easy to set up but canâ€™t fault the rest of the instal.  Now we watch our electricity bills reduce.  Happy customer,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Seraphim,Delta,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg']",0,0
74779,Esther,QLD - 4209,QLD,4209,True,2020-03-24,24 March 2020,5.0,,From beginning to end the team were amazing. The process was so simple and explained so well by Ian. But what really made the difference for me was the support I got from Chantal and Troy when I had my many questions answered. Would absolutely recommend your choice solar to all.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Seraphim,Fronius,LG Chem,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
70174,Gary,NSW - 2470,NSW,2470,True,2019-11-11,11 November 2019,5.0,,"Jason who was our first contact knew his stuff, was not a backpacker selling door to door, was a solar person, and has a passion for solar not commissions and quotas.We had our quote promptly and the payment sorted within days. Install was the following week, the only thing that holds us up at the moment is getting our electricity provider to install a smarter meter, this was the longest wait for the whole procedure.Would I recommend them? YES",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",Seraphim,Delta,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_delta.jpg']",0,0
