review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140239,Chan,NSW - 2168,NSW,2168,True,2025-11-20,20 November 2025,5.0,,Got our 30 Kw Esy battery done. Working perfectly fine. Excellent customer service and backup support is good.,5.0,5.0,5.0,5.0,,"$4,000 to $6,000",,,ESY Sunhome,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_esy-sunhome-batteries.png'],0,0
139966,Megharita,NSW - 2766,NSW,2766,True,2025-11-15,15 November 2025,5.0,,"It is always great to do business. The quality is great, support is awesome. I'll don't have to worry about anything.",5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,,,,,False,[],0,0
137300,David,NSW - 2763,NSW,2763,True,2025-09-16,16 September 2025,5.0,,"From the beginning, communication has been prompt and helpful. We needed strata by-laws changed and Sam at Your Green Planet liased with strata and helped facilitate the changes.The installation was done on time and it looks great.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",I don't know,I don't know,Tesla Powerwall 3,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
135344,Kunal,NSW - 2145,NSW,2145,True,2025-07-15,15 July 2025,5.0,,Your Green Planet installed my system in May 2023. Just got a battery installed a week ago.From start to finish whole process went very smoothly. The staff is great and very knowledgeable . Highly recommended.,5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
129268,Hakim,NSW - 2765,NSW,2765,True,2024-12-23,23 December 2024,5.0,,"Everything from the quote, installation and after sales service was easy, hassle free, communication was transparent, punctual and professional. And hoping the after sales service also will be as smooth as our installation process with them.",5.0,5.0,5.0,5.0,15kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
128889,Anita,NSW - 2753,NSW,2753,True,2024-12-11,11 December 2024,5.0,,"Having received my first bill since installation I can say the install was well worth it! Origin now owe me money and I have a $180 credit for my first invoice since installation. Thanks so much to Your Green Planet for a quality, fuss free install. And now I have money in the (Origin) bank too!",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",,Goodwe,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
128169,Asad,NSW - 2765,NSW,2765,True,2024-11-20,20 November 2024,4.0,,"Fantastic installation, salesman and support. It's been more than 2 years and so far the system is delivering right up to the promise.",4.0,4.0,4.0,4.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
127372,Sandip,NSW - 2763,NSW,2763,True,2024-10-29,29 October 2024,5.0,,The whole process was very streamlined and efficient. I signed the contract and the team was there to install in 3 days. Wonderful experience.,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",Seraphim,Solis,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fbc5d56defe8764bbc87f69960fbd6950.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e17ba55ac5d9fa432630afd5611a90431.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c16a19124d4ff1398cf28cd0d583f8682.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d008b39d5621cd63c6194596f46f9ccb3.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a6313c16d823337cd0f730c511174e5e4.jpg']",0,0
127340,Ruben,NSW - 2770,NSW,2770,True,2024-10-28,28 October 2024,5.0,,"They did a very good job despite cloudy and shower-threatening weather.  Below are my remarks -* Fast and seamless installation and great sales presentation - quick processing and very enlightening tips.* The quoted price is  value for money - I  would not hesitate to recommend them to family and friends* It's now been running two weeks since installation and I have yet to see anything faulty or negative.*Even the user friendly app shows how much the system is contributing to the efforts towards climate control (emission factors, number of trees planted/saved, etc)Thanks Rev.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,,False,[],0,0
126813,Jannette,NSW - 2770,NSW,2770,True,2024-10-11,11 October 2024,5.0,,"Sales process was good, did well by team explained really well. It’s been 3 years system is working fine recently need help with Wifi so team member came from office and connected us back online, we are 80 years old so really need good company to help us. If anyone like us looking for solar do contact YGP",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",JA Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
