review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
129907,Gary,VIC - 3095,VIC,3095,True,2025-11-13,13 November 2025,5.0,,"Process was straightforward. No stressful sales, just good honest information.  Installation team were polite, professional, punctual, tidy and efficient. Neat tidy install.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
138631,Jim,VIC - 3183,VIC,3183,True,2025-10-17,17 October 2025,4.75,,"Sales quoting process was helpful and professional. Assistance was provided with the planning process, necessary because of heritage overlay. All questions dealt with.Installation delayed a little, no doubt because of demand, but when started the installers were punctual, friendly and knowledgeable.Customer service fine, showed how to use charger and associated app. Grid connection was automatic following inspection, possibly because it was a replacement array. All documentation provided.",4.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",Jinko Solar,Anker Solix,Anker Solix,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4a18f22ac4a81b13fceeaeca6bc877eb0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e7d2190bab44d18b166e7a5dc3f60a3e1.jpeg']",0,0
138565,Oliver,VIC - 3338,VIC,3338,True,2025-10-15,15 October 2025,3.5,,"Sales experience - 10/10Install Coordination - 4/10Installation - 6/10Customer service was amazing before I signed contact. Once handed over to install coordination I lost every bit of contact. I received no updates, when I called I was told I would receive a call back which I did not.Was told 3-4 weeks for install at contract signing, was told 3-4 weeks at week 3 when I called for an update. Was called at end of week 5 to offer me 1 day 1 week out. I had charity commitments that day, so they said they would call me back the next week as they can only book 1 week on advance.During the follow up I was given 14 hours notice they needed to complete a second inspection, this was the first time I found out this inspection was required, I moved my schedule around to od my best not to delay in the install.During week 5 I had to threaten to cancel to get any form of commitment of when my install will take place.Install was completed week 7.No install reminderInstaller arrived at 6:59am and left at 7pm.I found out at 7pm they expect me to dispose of all the rubbish. This included- boxes the battery and inverted came in- pallets the panels and battery were delivered on- off cuts / left overs of metal rails, cables, paperwork/manuals- installers lunch containers and drink cansI had to argue regarding the largest pallet (1.5x2m) as it would not fit in my SUV.I spent 4 hours sorting and doing two full trips to the tip to dispose of everything.The quality of the install does look to to be good quality.However during the process I found myself recommending my friends installer, as I could not recommend my experience to people I like.",4.0,5.0,4.0,1.0,6.6kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fad994f4f1a1fcb4aa2fd0192d821aed0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/795c7ca920b9da89f32ada7d6badbf201.jpg']",0,0
137272,Selima,VIC - 3021,VIC,3021,True,2025-09-15,15 September 2025,5.0,,"Great service from a quick response, professional and punctual sales person, office updates, installation, and their referral to inspection. Everyone was great and helpful to guide us through what might have been a very intimidating process. It was also a very quick process.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Trina,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
126742,Kevin,VIC - 3136,VIC,3136,True,2025-08-05,05 August 2025,5.0,,First class in all areas. Great service good clean up   Great follow up with an issue. Sales person Pat had great knowledge and advice. Installers very good,5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Winaico,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
135091,Garry,VIC - 3754,VIC,3754,True,2025-07-08,08 July 2025,3.75,,"Overall the installation was satisfactory. Timely and polite. The crew need to be a bit better cleaning up when finished. In particular it is poor form leaving cigarette butts around. This might be out of the scope of the installers duties, however, we would have appreciated an explanation of how the system works.",4.0,4.0,3.0,4.0,10kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
134613,Ray,VIC - 3195,VIC,3195,True,2025-06-24,24 June 2025,5.0,,After extensive research we chose Zeco Energy to install 12.5kW solar panels with a 13.5kW Tesla Powerwall 2 battery storage system and EV Charger to our home and we are extremely satisfied with our decision. The installation was carried out in a seamless timely manner by very organised professional tradesmen who were also very respectful. The system is functioning perfectly as promised and producing energy well in excess of our requirements. We have no hesitation in affording Ian and his time our highest recommendation to anyone contemplating installing a blackout proof long term solar investment such as we have done.,5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",SolarEdge,Enphase,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
134512,Michael,VIC - 3204,VIC,3204,True,2025-06-20,20 June 2025,5.0,,"Zeco were fantastic to deal with. Polite, punctual, and professional throughout. They were flexible in helping us size the system, explained everything clearly, and kept us well-informed. The install was smooth and hassle-free, and their pricing was very competitive. Highly recommended!",5.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",Aiko Solar,Anker Solix,Anker Solix,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png']",0,0
133902,Barry,VIC - 3806,VIC,3806,True,2025-05-29,29 May 2025,5.0,,"From my initial enquiry to ZECO Energy for a solar system upgrade and heat pump hot water installation at home I found all members of the ZECO Team most approachable, professional and pleased to assist with my range of clarification queries I had throughout the entire process to provide for a value for money integrated renewable energy system at home. A desire to provide quality and helpful customer service clearly stood out in all my interactions with the ZECO Team, including a site visit to check out their business premises.This excellent service extended to the contractors and their sub-contractors who installed the system at home. Noting I can be very critical of workmanship standards (retired Engineer) I found the standard of works excellent from the initial pre-work site inspection to final clean-up and commissioning of the system.If you are considering exploring opportunities for renewable energy at home, I genuinely recommend a conversation with the Team at ZECO Energy to assist you with informative and cost-effective options.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f7a70d3858d1453cc0b6929d0d5c72ff0.jpg']",0,0
133370,Lachlan,VIC - 3113,VIC,3113,True,2025-05-13,13 May 2025,4.75,,"Josh from Zeco met with me and took on board my slightly unusual requirements for the installation:I didn't want any information about generation or consumption going from the inverter to the grid operator or the inverter company.I also didn't want any organisation to have the ability to switch off the system without my permission.I still wanted to be able to access consumption and generation data within my home network.In fact, I wanted to operate the whole setup without any internet connection or account with the installer or anybody else.On the first two requirements, Josh and Zeco were able to set me up with a Sigenstor inverter.  They checked with SigEnergy to make sure it could be operated without an internet connection, and that it would still be covered under warranty.  This is not the way the usual install goes, but they were able to accommodate my requirements.I chose not to receive a feed-in tariff so as to avoid becoming part of the ""backstop"", as that would have enabled the grid-operator to turn off my system if they felt like it.  The feed-in tariff is low enough now that I expect to make my money back by saving electricity instead of exporting it.It took a bit of close coordination with their electrical engineer (thanks again Janak) to enable MODBUS to scrape the usage and generation data via WiFi, but that works well now and I have integrated it with my home server.I have an old house providing challenges in situating the inverter and the battery while adhering to planning codes, but the panels and inverter/battery were nonetheless installed very professionally in a single day, and it looks great.  Neat work, and the panels and inverter/battery combo themselves are good-looking imho.TLDR good looking, installed in one day, and good communication.",4.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
