review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140325,Igor,WA - 6065,WA,6065,True,2025-11-23,23 November 2025,5.0,,"The whole process from quite to installation was quick done and dusted in less than a weekInstall was tidy, and effeciant",5.0,5.0,5.0,5.0,5kW,"$0 to $2,000",,Solis,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
135789,Nic,WA - 6056,WA,6056,True,2025-08-02,02 August 2025,5.0,,"Fantastic service.  They got the system running immediately on part panels while they got the required part, which was obtained the next day and fitted.  Could not be happier.",5.0,5.0,5.0,5.0,5kW,"$0 to $2,000",,,,,,,False,[],0,0
134288,Sarah,WA - 6164,WA,6164,True,2025-06-12,12 June 2025,5.0,,"Christy provided all the information I needed and revised my quote a few times to match what I wanted. She was professional, gave me plenty of time to consider my options and answered every question I had.The installers were efficient and professional. Again sought my feedback on everything and answered all my questions.Excellent customer service by all.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,,False,[],0,0
133709,Trevor,WA - 6073,WA,6073,True,2025-05-22,22 May 2025,5.0,,The quoting process and subsequent sales was straight forward and professional. I followed the recommendation to upgrade to a certain Hybrid inverter for future batteries. Installation was prompt and efficient by a friendly installer.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
133378,Ray,WA - 6064,WA,6064,True,2025-05-13,13 May 2025,5.0,,"The installation was great, fitting as many panels as possible. Price was good and the work timely and professional.Follow-up service was (and is after 5 years) exceptional.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,Goodwe,,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
133095,Jin,WA - 6022,WA,6022,True,2025-05-05,05 May 2025,5.0,,"Everything is good, a good price, good service, good installation",5.0,5.0,5.0,5.0,5kW,"$0 to $2,000",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
132521,Natasha,WA - 6163,WA,6163,True,2025-04-13,13 April 2025,5.0,,After many years I saw an error on my system. After multiple restart if the system it was still unresolved. Error 401 was showing. I emailed the company and the owner called and walked me through some troubleshooting tips. After being unable to resolve an appointment was booked in for onsite assistance. Then I was called by Christy who was able to access me app remotely and resolved the issue without the need if a call out. Fantastic company that made multiple steps to save me money in call out fees. Admirable of them as most companies just want the money this company just wanted to help without costing me money. tThanks esolar,5.0,5.0,5.0,5.0,6kW,"$0 to $2,000",,Growatt,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
131085,Derek,WA - 6026,WA,6026,True,2025-02-26,26 February 2025,5.0,,Just want to express my appreciation to the quality of customer service that I received from ESOLAR that certainly persuaded me in the purchase of this truly remarkable solar system and for the way this was professionally attended too was over and above all my expectations from start to the completion that was certainly a company I would personally recommend to future customers. The qualified personnel were so polite and the finish speaks for itself. I found that everything ? all my boxes. Well done ESOLAR. A very happy customer. ??????????,5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",,,,,,,True,"[""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1f9e7ccb02e8102061ceb461a9764fb40.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/87e5ca5118ad33a98df2561c3b78e9f81.jpeg']",0,0
131010,Pasquale,WA - 6065,WA,6065,True,2025-02-24,24 February 2025,5.0,,"I was very impressed with Kristy, she was very thorough, she explained everything about the product, how it works and how they monitor it. The day of installation was very straightforward, they were prompt, polite and tidy.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",JA Solar,iStore,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
130971,Stefano,WA - 6024,WA,6024,True,2025-02-23,23 February 2025,5.0,,"We have been long-time clients of E-Solar and have always had fantastic experiences with them. They installed our PV solar panels a few years ago with no issues, and they continue to work flawlessly. Although we don’t have batteries yet (waiting for prices to drop), we’ve always trusted E-Solar for their expertise and professionalism.From the very beginning, E-Solar has been transparent and efficient. Their quoting process was clear, with no hidden surprises. They took the time to explain our options and ensured we were comfortable with our decisions.Both our PV solar panels and solar hot water system installations were handled professionally. The team was punctual, polite, and left the site clean and tidy. When we had our old solar hot water system repaired a few years ago, the work was done quickly and to a high standard.Our most recent interaction with E-Solar was when we noticed a leak in one of the hot water solar panels at 9 PM. We immediately notified E-Solar, and despite our 9-to-5 work schedules, they had a crew at our home the very next morning. The team quickly assessed the issue, replaced one of the panels under warranty, and ensured everything was in perfect working order—all at zero cost to us and within 24 hours!Silvio, Sharon, Christy, and the entire installation and maintenance crew go above and beyond. Their level of customer service is exceptional, and they truly stand behind their work. I highly recommend E-Solar to anyone looking for a reliable and professional solar provider.",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",,Growatt,,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/306fe524b185da3392a4922ffd390e860.jpg']",0,0
